,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BOS201808020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,birdg001
0,BOS201808030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,birdg001
0,BOS201808040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,birdg001
0,BOS201808050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,birdg001
0,BOS201809290,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,birdg001
0,BOS201508310,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,birdg001
0,BOS201509010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,birdg001
0,BOS201509020,2,1,0,0,1,1,0,0,0,2,4,0,0,0,0,birdg001
0,NYN201806080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,birdg001
0,NYN201806090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,birdg001
0,NYN201806100,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,birdg001
0,BOS201704260,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,birdg001
0,NYA201903280,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,birdg001
0,NYA201903310,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,birdg001
0,NYA201904010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,birdg001
0,NYA201904030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,birdg001
0,NYA201904120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,birdg001
0,NYA201904130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,birdg001
0,TOR201806050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,birdg001
0,TOR201806060,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,birdg001
0,TOR201807060,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,birdg001
