,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201908130,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,canhm001
0,SFN201908140,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,canhm001
0,BAL201605072,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,canhm001
0,BAL201605080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,KCA201504170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,KCA201504190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201504080,3,1,2,0,0,0,0,0,0,4,5,0,0,0,0,canhm001
0,OAK201504090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201504100,3,2,0,0,1,0,0,0,0,2,5,0,0,0,0,canhm001
0,OAK201504110,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,canhm001
0,OAK201504120,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,canhm001
0,OAK201504240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201504250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,canhm001
0,OAK201504300,3,2,0,0,1,0,0,0,0,3,4,0,0,0,0,canhm001
0,OAK201505110,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,canhm001
0,OAK201505130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201505150,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,canhm001
0,OAK201505160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201505250,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,canhm001
0,OAK201505260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201505270,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,canhm001
0,OAK201505280,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,canhm001
0,OAK201505290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201505300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,canhm001
0,OAK201506090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201506110,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,canhm001
0,OAK201506170,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,canhm001
0,OAK201506180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201506210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201506300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201507010,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,canhm001
0,OAK201507020,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,canhm001
0,OAK201507030,2,1,1,0,0,0,0,0,0,3,4,0,0,0,0,canhm001
0,OAK201507050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201507170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,canhm001
0,OAK201507180,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201507190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201507220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201507230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201507310,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,canhm001
0,OAK201508010,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,canhm001
0,OAK201508020,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,canhm001
0,OAK201508040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201508050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201508070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201508090,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,canhm001
0,OAK201508180,4,2,2,0,0,0,0,0,0,2,5,0,0,0,0,canhm001
0,OAK201508190,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201508210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201508220,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,canhm001
0,OAK201508230,2,1,0,1,0,0,0,0,0,4,4,0,0,0,0,canhm001
0,OAK201508310,1,0,0,0,1,1,0,0,1,4,3,0,0,0,0,canhm001
0,OAK201509010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509040,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509050,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,canhm001
0,OAK201509060,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509070,2,1,0,0,1,1,0,0,0,2,4,0,0,0,0,canhm001
0,OAK201509080,2,1,0,0,1,0,0,0,0,3,4,0,0,0,0,canhm001
0,OAK201509090,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509220,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,canhm001
0,OAK201509230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201509260,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,canhm001
0,OAK201509270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,BOS201805140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,BOS201805150,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,canhm001
0,BOS201805160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,canhm001
0,OAK201804160,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,canhm001
0,OAK201804170,3,2,1,0,0,0,0,0,0,2,4,0,0,0,0,canhm001
0,OAK201804180,1,0,0,0,1,2,0,0,0,1,5,0,0,0,0,canhm001
0,OAK201804200,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,canhm001
0,OAK201804210,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,canhm001
