,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,DET201404210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,DET201404220,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,dankj002
0,DET201404230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dankj002
0,DET201404240,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,dankj002
0,DET201409220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,DET201409240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,TBA201409210,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,dankj002
0,SFN201408120,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dankj002
0,SFN201408130,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dankj002
0,CHN201405050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,CHN201405060,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,dankj002
0,NYA201408220,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,dankj002
0,NYA201408230,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dankj002
0,NYA201408240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,CHA201404110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,CHA201404120,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,dankj002
0,CHA201404130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dankj002
0,CHA201404160,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,dankj002
0,CHA201408150,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,dankj002
0,CHA201408160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dankj002
0,CHA201408170,1,0,0,0,1,0,0,0,1,3,2,0,0,0,0,dankj002
0,CHA201408180,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dankj002
0,CHA201408190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dankj002
0,CHA201409090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,CHA201409100,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,dankj002
0,CHA201409131,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,dankj002
0,CHA201409250,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,dankj002
0,CHA201409260,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,CHA201409280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,MIN201409020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dankj002
0,CLE201405020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,dankj002
0,CLE201405030,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,dankj002
0,CLE201405040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,CLE201409060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dankj002
0,CLE201409070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dankj002
0,TEX201404180,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,dankj002
0,TEX201404190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,TEX201404200,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,dankj002
0,SEA201408090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,SEA201408100,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,KCA201409150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dankj002
0,KCA201409170,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dankj002
0,PHI201508020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,PHI201508040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,PHI201508050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
0,PHI201508060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dankj002
