,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201604040,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,davic003
0,BAL201604060,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,davic003
0,BAL201604070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201604080,1,0,0,0,1,2,0,0,0,1,2,0,0,0,0,davic003
0,BAL201604100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201604190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201604200,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,davic003
0,BAL201604210,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,davic003
0,BAL201604280,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,davic003
0,BAL201604290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201604300,2,1,1,0,0,1,1,0,0,2,4,0,0,0,0,davic003
0,BAL201605010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201605030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201605040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201605050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201605071,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,davic003
0,BAL201605072,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,davic003
0,BAL201605080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201605120,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,davic003
0,BAL201605130,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,davic003
0,BAL201605140,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201605150,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,davic003
0,BAL201605170,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,davic003
0,BAL201605180,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201605190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201605300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201605310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201606010,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,davic003
0,BAL201606020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201606030,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,davic003
0,BAL201606040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201606050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201606060,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,davic003
0,BAL201606070,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,davic003
0,BAL201606170,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,davic003
0,BAL201606180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201606190,3,1,2,0,0,1,0,0,0,1,4,0,0,0,0,davic003
0,BAL201606210,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,davic003
0,BAL201606220,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,davic003
0,BAL201606240,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,davic003
0,BAL201606251,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201606252,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,davic003
0,BAL201606260,2,1,0,0,1,1,0,0,0,4,4,0,0,0,0,davic003
0,BAL201607080,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,davic003
0,BAL201607090,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201607100,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,davic003
0,BAL201607220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201607230,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,davic003
0,BAL201607240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201607250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201607260,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,davic003
0,BAL201607270,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,davic003
0,BAL201608020,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,davic003
0,BAL201608030,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,davic003
0,BAL201608040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,davic003
0,BAL201608160,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,davic003
0,BAL201608170,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,davic003
