,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904120,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,dazay001
0,SFN201904130,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,dazay001
0,SFN201909240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,SFN201909260,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,dazay001
0,SDN201908080,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dazay001
0,SDN201908100,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,dazay001
0,SDN201908110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dazay001
0,SDN201909070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dazay001
0,SDN201909080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,LAN201909020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dazay001
0,LAN201909200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,LAN201909220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dazay001
0,COL201904090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dazay001
0,COL201905270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dazay001
0,COL201905290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201905300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dazay001
0,COL201908040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dazay001
0,COL201908120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201908130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dazay001
0,COL201908140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201908160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dazay001
0,COL201908170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201908180,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201908260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201908270,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201908280,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,dazay001
0,COL201908290,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201908300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dazay001
0,COL201908310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201909010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201909100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,COL201909120,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,dazay001
0,COL201909130,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,dazay001
0,COL201909280,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dazay001
0,COL201909290,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,dazay001
0,SLN201908220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dazay001
0,SLN201908230,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dazay001
0,SLN201908240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dazay001
0,SLN201908250,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dazay001
0,HOU201908070,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,dazay001
0,ARI201908200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dazay001
0,ARI201908210,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dazay001
