,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,OAK201804160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,delmn001
0,OAK201804170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,delmn001
0,OAK201804180,3,3,0,0,0,0,0,0,0,1,7,0,0,0,0,delmn001
0,SEA201807200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,delmn001
0,SEA201807210,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,delmn001
0,BOS201708030,2,1,0,0,1,0,0,0,0,3,4,0,0,0,0,delmn001
0,BOS201708040,3,2,1,0,0,0,0,0,0,2,5,0,0,0,0,delmn001
0,BOS201708050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,delmn001
0,BOS201708060,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,delmn001
0,TOR201804030,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,delmn001
0,TOR201804040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,delmn001
0,KCA201709110,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,delmn001
0,KCA201709120,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,delmn001
0,KCA201709130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,delmn001
0,ANA201807240,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,delmn001
0,ANA201807260,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,delmn001
0,TBA201808030,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,delmn001
0,TBA201808040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,delmn001
0,TBA201808050,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,delmn001
0,BAL201904220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,delmn001
0,BAL201904230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,delmn001
0,BAL201904240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,delmn001
0,LAN201708160,3,1,0,0,2,0,0,0,0,2,4,0,0,0,0,delmn001
0,CLE201709290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,delmn001
0,NYA201808270,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,delmn001
0,NYA201808280,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,delmn001
0,NYA201808290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,delmn001
0,BAL201809140,1,0,0,1,0,1,0,0,0,1,2,0,0,0,0,delmn001
0,BAL201809150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,delmn001
