,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201704150,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,dickr001
0,ATL201704200,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,dickr001
0,ATL201705020,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,dickr001
0,ATL201705070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dickr001
0,ATL201705190,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,dickr001
0,ATL201705230,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,ATL201706080,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,dickr001
0,ATL201706190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,ATL201706240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,ATL201707140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,ATL201707190,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,dickr001
0,ATL201708040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,ATL201708180,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,dickr001
0,ATL201708230,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,dickr001
0,ATL201709040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,ATL201709100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,ATL201709160,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dickr001
0,ATL201709210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dickr001
0,NYN201704270,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,dickr001
0,NYN201709260,1,1,0,0,0,0,2,2,0,0,1,0,0,0,0,dickr001
0,SFN201605110,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,dickr001
0,SFN201705280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,MIL201408200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dickr001
0,PIT201405030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dickr001
0,ARI201707240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dickr001
0,WAS201506021,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,PIT201704080,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,dickr001
0,WAS201706130,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,dickr001
0,WAS201707070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,MIA201705140,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,dickr001
0,CIN201706030,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dickr001
0,SLN201708130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dickr001
0,CIN201406220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dickr001
0,PHI201707300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dickr001
0,PHI201708301,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,dickr001
0,PHI201508180,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,dickr001
