,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BOS201806260,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fletd002
0,BOS201806270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fletd002
0,BOS201806280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,OAK201806160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fletd002
0,OAK201806170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fletd002
0,CIN201908050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,CIN201908060,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,CHN201904120,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,CHN201904130,1,1,0,0,0,2,0,0,0,1,3,0,0,0,0,fletd002
0,CHN201906030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,SEA201806130,3,2,0,1,0,0,0,0,0,2,4,0,0,0,0,fletd002
0,SEA201807030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,SEA201807040,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,SEA201807050,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,OAK201903290,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,fletd002
0,OAK201903300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,OAK201905270,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,fletd002
0,OAK201905280,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,fletd002
0,OAK201905290,1,1,0,0,0,2,0,0,0,0,5,0,0,0,0,fletd002
0,OAK201909030,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,OAK201909040,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,OAK201909050,2,2,0,0,0,0,1,0,0,0,5,0,0,0,0,fletd002
0,NYA201909170,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,NYA201909180,3,3,0,0,0,0,1,0,0,0,5,0,0,0,0,fletd002
0,NYA201909190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,BOS201908080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,BOS201908090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,BOS201908100,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,BOS201908110,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,ANA201806180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fletd002
0,ANA201806190,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201806230,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201806240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,fletd002
0,ANA201807060,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,fletd002
0,ANA201807070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,fletd002
0,ANA201807080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201807100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fletd002
0,ANA201807110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fletd002
0,ANA201807120,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,fletd002
0,ANA201807200,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fletd002
0,ANA201807210,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201807220,3,3,0,0,0,0,0,0,0,2,5,0,0,0,0,fletd002
0,ANA201807230,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201807240,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,fletd002
0,ANA201807250,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201807260,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201807270,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,fletd002
0,ANA201807280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fletd002
0,ANA201807290,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,ANA201808060,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,fletd002
0,ANA201808070,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201808080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fletd002
0,ANA201808100,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201808110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201808120,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201808240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fletd002
0,ANA201808250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201808260,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201808270,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,fletd002
0,ANA201808280,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,fletd002
0,ANA201809100,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201809110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fletd002
0,ANA201809120,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,ANA201809130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201809140,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201809150,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,ANA201809160,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,fletd002
0,TBA201807310,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,TBA201808010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,TBA201808020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,BAL201905100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,BAL201905110,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,fletd002
0,BAL201905120,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,fletd002
0,SDN201808130,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,fletd002
0,SDN201808140,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,SDN201808150,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,BAL201806290,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,fletd002
0,BAL201806300,2,2,0,0,0,0,0,0,0,2,4,0,0,0,0,fletd002
0,BAL201807010,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,fletd002
0,CHA201809070,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,CHA201809080,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,CHA201809090,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,fletd002
0,MIN201905130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,MIN201905140,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,fletd002
0,MIN201905150,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,fletd002
0,SEA201904010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,fletd002
0,SEA201904020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fletd002
0,SEA201905300,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,SEA201905310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fletd002
0,SEA201906010,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,fletd002
0,SEA201906020,3,1,2,0,0,1,0,0,0,1,5,0,0,0,0,fletd002
