,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201907050,3,1,0,1,1,0,0,0,0,2,5,0,0,0,0,fowld001
0,SFN201907060,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,SFN201907070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,ATL201905140,2,1,0,0,1,2,0,0,0,1,3,0,0,0,0,fowld001
0,ATL201905150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld001
0,ATL201905160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld001
0,CHA201607250,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,fowld001
0,CHA201607260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,ATL201705070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld001
0,NYN201409260,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,fowld001
0,NYN201409270,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,PIT201605020,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,fowld001
0,PIT201605030,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fowld001
0,PIT201605040,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fowld001
0,PIT201609270,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,fowld001
0,PIT201609280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld001
0,MIL201704200,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld001
0,MIL201704210,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,fowld001
0,MIL201704230,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,fowld001
0,MIL201708290,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,fowld001
0,MIL201708300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,NYN201707170,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fowld001
0,NYN201707180,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld001
0,NYN201707190,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,fowld001
0,NYN201707200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,NYN201906130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld001
0,NYN201906140,1,0,0,0,1,1,0,0,0,3,3,0,0,0,0,fowld001
0,NYN201906150,2,1,0,0,1,0,0,0,1,3,4,0,0,0,0,fowld001
0,NYN201906160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,CIN201904130,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,fowld001
0,CIN201904140,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,fowld001
0,CIN201907180,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld001
0,CIN201907190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,fowld001
0,CIN201907200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld001
0,CIN201907210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,CIN201908150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld001
0,CIN201908160,3,1,1,0,1,0,0,0,0,4,6,0,0,0,0,fowld001
0,CIN201908170,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,fowld001
0,CIN201908180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld001
0,WAS201904290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld001
0,CHN201905030,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld001
0,CHN201905040,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,fowld001
0,CHN201905050,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,fowld001
0,CHN201906070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,CHN201906080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld001
0,CHN201906090,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,fowld001
0,CHN201909190,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld001
0,CHN201909200,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,fowld001
0,CHN201909210,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,fowld001
0,CHN201909220,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,fowld001
0,TOR201404080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld001
0,TOR201404090,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld001
0,TOR201404100,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld001
0,DET201405050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld001
0,DET201405060,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld001
0,DET201405070,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,fowld001
0,DET201405080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld001
