,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201606260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,BAL201609150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frann001
0,CHA201609280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frann001
0,ATL201706230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frann001
0,ATL201706250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201704080,1,0,0,0,1,0,1,0,0,2,3,0,0,0,0,frann001
0,MIL201704090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201704210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201704220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201704230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201704240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201704250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,frann001
0,MIL201704260,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,MIL201704290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201705090,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,frann001
0,MIL201705120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201705130,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201705140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,frann001
0,MIL201705230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201705240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201705250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201705280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201706030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201706040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,frann001
0,MIL201706050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frann001
0,MIL201706070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201706080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201706170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frann001
0,MIL201706190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,MIL201706200,2,0,1,0,1,0,0,0,0,2,3,0,0,0,0,frann001
0,NYN201705290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,NYN201705300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,NYN201705310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,NYN201706010,2,2,0,0,0,1,0,0,0,1,2,0,0,0,0,frann001
0,BOS201509230,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frann001
0,TBA201409160,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,frann001
0,TBA201409170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,TBA201409200,2,1,0,0,1,1,0,0,0,2,3,0,0,0,0,frann001
0,TBA201409210,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,frann001
0,HOU201608270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,HOU201608280,3,2,0,0,1,0,0,0,0,1,5,0,0,0,0,frann001
0,ARI201606070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,ARI201606080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,frann001
0,BOS201409230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frann001
0,BOS201409240,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,frann001
0,BOS201409250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,BAL201505300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,frann001
0,BAL201505310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frann001
0,DET201509090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,SDN201705150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frann001
0,SDN201705160,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,SDN201705170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,CLE201707260,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,frann001
0,ARI201706090,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,frann001
0,ARI201706100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,WAS201506170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frann001
0,WAS201506180,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,frann001
0,TOR201608080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,TOR201609120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,TOR201609130,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frann001
0,TOR201609140,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,frann001
0,PIT201705050,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,PIT201705060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,PIT201705070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,frann001
0,TBA201606270,3,1,1,0,1,0,0,0,0,5,5,0,0,0,0,frann001
0,TBA201606280,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,frann001
0,TBA201606290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,TBA201606300,1,0,1,0,0,0,0,0,0,3,3,0,0,0,0,frann001
0,TBA201607010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frann001
0,TBA201607030,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frann001
0,TBA201607050,3,3,0,0,0,0,0,0,0,2,4,0,0,0,0,frann001
0,TBA201607060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frann001
0,TBA201607070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,TBA201607310,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,frann001
0,TBA201608010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frann001
0,TBA201608020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frann001
0,TBA201608030,3,2,0,1,0,0,0,0,0,1,5,0,0,0,0,frann001
0,TBA201608040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frann001
0,TBA201608050,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,frann001
0,TBA201608060,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,frann001
0,TBA201608070,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,frann001
