,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,CHN201904250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,galer002
0,SFN201710010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,galer002
0,COL201509190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,SDN201709200,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,galer002
0,SDN201709240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,galer002
0,LAN201904160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,galer002
0,LAN201905120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,LAN201510040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,SFN201509120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,LAN201809230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,SDN201509060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,SDN201509090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,SDN201509250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,SDN201509300,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,galer002
0,SDN201510010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
0,SLN201904110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,galer002
0,MIL201904200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,galer002
0,SFN201809300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,galer002
