,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201504060,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,gillc001
0,KCA201504090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gillc001
0,KCA201508130,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,gillc001
0,KCA201508140,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,KCA201508150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,KCA201508160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gillc001
0,PIT201606210,4,3,0,0,1,0,0,0,0,4,5,0,0,0,0,gillc001
0,PIT201606220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,PIT201606230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,OAK201505150,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,gillc001
0,OAK201505160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,NYN201705080,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,gillc001
0,NYN201705090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,NYN201705100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,TOR201406260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,TOR201406270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,TOR201406280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gillc001
0,DET201404210,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,DET201407290,3,3,0,0,0,0,0,0,0,1,5,0,0,0,0,gillc001
0,DET201407300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gillc001
0,DET201407310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gillc001
0,DET201409230,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gillc001
0,DET201409240,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,WAS201608050,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,WAS201608070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,TBA201409190,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gillc001
0,TBA201409200,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,gillc001
0,SFN201604220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201604270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201605050,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201605060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201605070,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gillc001
0,SFN201605080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201605090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201605110,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,gillc001
0,SFN201605200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gillc001
0,SFN201605210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201605250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201606070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201606110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201606120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gillc001
0,SFN201606130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201606140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201606150,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gillc001
0,SFN201606240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,SFN201606250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gillc001
0,SFN201606260,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,gillc001
0,SFN201606270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,SFN201606280,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,gillc001
0,SFN201607040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201607050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gillc001
0,SFN201607100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gillc001
0,SFN201607250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gillc001
0,SFN201607260,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,gillc001
0,SFN201607270,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,gillc001
0,SFN201607280,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,gillc001
0,SFN201607290,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,SFN201607300,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gillc001
0,SFN201607310,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,gillc001
0,SFN201608120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201608130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201608150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
0,SFN201608170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gillc001
0,SFN201608180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gillc001
0,SFN201608190,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,gillc001
0,SFN201608200,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,gillc001
0,SFN201608210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gillc001
