,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201906140,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,grany001
0,SFN201906150,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,grany001
0,SFN201906160,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,grany001
0,ATL201905170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,grany001
0,ATL201905180,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,grany001
0,ATL201905190,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,ATL201407260,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,grany001
0,ATL201407270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,ATL201407280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,ATL201708010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,ATL201708020,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,grany001
0,NYN201406140,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,grany001
0,NYN201406150,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,grany001
0,PIT201606240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,PIT201606260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,OAK201508190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,grany001
0,MIL201706020,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,grany001
0,MIL201706030,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,grany001
0,MIL201706040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,NYN201708040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,grany001
0,NYN201708050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,OAK201808070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,grany001
0,OAK201808080,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,grany001
0,NYN201904260,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,grany001
0,NYN201904270,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,grany001
0,CIN201904010,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,CIN201904020,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,grany001
0,CIN201907010,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,grany001
0,CIN201907020,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,grany001
0,CIN201907030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,grany001
0,CIN201907040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,CIN201909240,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,grany001
0,CIN201909250,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,grany001
0,CIN201909260,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,grany001
0,WAS201908160,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,grany001
0,WAS201908170,2,2,0,0,0,2,0,0,0,0,6,0,0,0,0,grany001
0,WAS201908180,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,grany001
0,CHN201905100,2,2,0,0,0,0,0,0,1,2,4,0,0,0,0,grany001
0,CHN201905110,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,grany001
0,CHN201905120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,CHN201908020,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,grany001
0,CHN201908030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,CHN201908040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,grany001
0,CHN201908300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,grany001
