,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201909150,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,herne002
0,ATL201908200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,WAS201907040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herne002
0,WAS201908300,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,herne002
0,MIA201906110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herne002
0,MIA201906280,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,herne002
0,MIA201907160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,MIA201907280,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,herne002
0,MIA201908080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,herne002
0,MIA201908140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,MIA201908250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,MIA201909100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,NYN201805210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herne002
0,PHI201906220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,MIA201805160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herne002
0,MIA201805270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,MIA201806140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,MIA201806260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,PIT201909050,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,herne002
0,ARI201806010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,SLN201906170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,herne002
0,ATL201808150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,SFN201806190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
0,WAS201807070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,herne002
