,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201609080,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,PIT201609090,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,PIT201609100,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,PIT201609110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,SLN201609260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,SLN201609270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,SLN201609280,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,iribh001
0,SLN201609290,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,iribh001
0,MIL201609230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,MIL201609240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,iribh001
0,CHN201609190,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,iribh001
0,CIN201609040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,iribh001
0,CIN201609050,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,CIN201609060,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,CIN201609070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,CIN201609120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,CIN201609160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
0,CIN201609171,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,iribh001
0,CIN201609300,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,iribh001
0,CIN201610010,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,iribh001
0,CIN201610020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,iribh001
