,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201905240,1,1,0,0,0,1,0,0,0,0,5,0,0,0,0,kellc002
0,SFN201905250,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,SFN201905260,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kellc002
0,SFN201906270,2,0,1,0,1,0,0,0,0,2,4,0,0,0,0,kellc002
0,SFN201906280,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,SFN201906300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,SFN201908260,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,kellc002
0,ATL201904160,2,0,2,0,0,0,0,0,0,1,5,0,0,0,0,kellc002
0,ATL201904180,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,kellc002
0,PIT201609050,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,MIL201708290,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,kellc002
0,NYN201909090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,NYN201909100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,NYN201909110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,CIN201909060,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,CIN201909070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,WAS201906130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,WAS201906140,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,kellc002
0,WAS201906150,1,1,0,0,0,1,0,0,1,2,3,0,0,0,0,kellc002
0,WAS201906160,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,kellc002
0,CHN201904190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,CHN201904210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,MIA201907270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,MIA201907280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,MIA201907290,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,kellc002
0,SFN201609160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,BOS201708150,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,kellc002
0,NYA201907300,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,kellc002
0,NYA201907310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,SFN201709010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,KCA201708070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,KCA201708080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,SLN201609080,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,kellc002
0,SLN201609110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,SLN201609260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,kellc002
0,PHI201906110,2,1,1,0,0,1,0,0,0,2,3,0,0,0,0,kellc002
0,PHI201906120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,SDN201904020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,SDN201904030,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,kellc002
0,SDN201905200,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,kellc002
0,SDN201905220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,kellc002
0,SDN201909200,2,2,0,0,0,1,0,0,0,2,4,0,0,0,0,kellc002
0,SDN201909220,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,kellc002
0,SDN201709060,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,kellc002
0,SDN201709070,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,SDN201805100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,SDN201805110,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,kellc002
0,SDN201805130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,LAN201903290,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,kellc002
0,LAN201903300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,LAN201903310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,LAN201907030,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,kellc002
0,LAN201908090,2,0,0,0,2,1,0,0,0,3,4,0,0,0,0,kellc002
0,LAN201908110,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,kellc002
0,PIT201904230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,PIT201708180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,PIT201708190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,PIT201709220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,PIT201709230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,kellc002
0,PIT201709240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kellc002
0,PIT201805270,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,kellc002
0,CHN201707210,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,kellc002
0,CHN201707230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,CHN201709150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,COL201609210,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,kellc002
0,CIN201708040,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,kellc002
0,CIN201708060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,CIN201709200,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
0,COL201905030,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,kellc002
0,COL201905040,2,1,0,0,1,2,0,0,0,1,2,0,0,0,0,kellc002
0,COL201905270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kellc002
