,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201908080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,SFN201908110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,ATL201906150,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,knapa001
0,ATL201906160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,ATL201907040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,ATL201706050,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,knapa001
0,ATL201706070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,MIL201707140,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,knapa001
0,MIL201707160,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,BOS201807300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,NYN201704200,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,knapa001
0,NYN201706300,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,knapa001
0,NYN201707020,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,knapa001
0,NYN201904230,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,knapa001
0,NYN201904240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,NYN201907050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,NYN201909080,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,knapa001
0,CIN201909020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,WAS201904030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,WAS201906191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,WAS201906192,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,WAS201909230,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,knapa001
0,WAS201909242,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,WAS201909250,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,WAS201909260,2,0,1,0,1,0,0,0,0,2,3,0,0,0,0,knapa001
0,CHN201905220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,COL201809240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,COL201809250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,knapa001
0,COL201809260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,COL201809270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,MIA201904130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,MIA201904140,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,knapa001
0,MIA201906300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,knapa001
0,MIA201908250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,NYN201804030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,NYN201804040,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,knapa001
0,NYN201807091,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,knapa001
0,NYN201807110,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,knapa001
0,NYN201809080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,knapa001
0,BOS201706120,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,knapa001
0,CIN201807260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,CIN201807270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,CIN201807280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,knapa001
0,CIN201807290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,knapa001
0,PHI201804080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,PHI201804100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,knapa001
0,PHI201804200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,PHI201804220,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,knapa001
0,PHI201804250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,PHI201804260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,PHI201804280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201804290,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,knapa001
0,PHI201805070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201805090,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,knapa001
0,PHI201805270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,PHI201806080,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,knapa001
0,PHI201806090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201806100,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,knapa001
0,PHI201806140,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,PHI201806180,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,knapa001
0,PHI201806190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201806260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,knapa001
0,PHI201806290,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,knapa001
0,PHI201807010,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,knapa001
0,PHI201807030,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,knapa001
0,PHI201807200,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201807221,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,knapa001
0,PHI201807222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201807230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201807240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201807250,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,knapa001
0,PHI201808020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201808040,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,knapa001
0,PHI201808050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
0,PHI201808270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,knapa001
