,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201908270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,ATL201404260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,ATL201705060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,NYN201404040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,PIT201604060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,PIT201606120,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,PIT201609070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,MIL201704230,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,leakm001
0,NYN201707190,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,CIN201909080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,WAS201605260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,COL201807150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,ARI201405300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SFN201609170,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,leakm001
0,ARI201509070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201604130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201604180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201604290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201605040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,SLN201605210,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,SLN201606190,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201606300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201607050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201607180,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,leakm001
0,SLN201607230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,SLN201608090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201609120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,SLN201609280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,MIL201605310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,MIL201607100,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,leakm001
0,CIN201504080,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,leakm001
0,CIN201504240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,CIN201505110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,CIN201505160,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,CIN201505270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,CIN201506080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,CIN201506100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,CIN201506190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,CIN201506290,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,leakm001
0,CIN201507050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,CIN201507170,1,0,1,0,0,0,1,1,0,3,2,0,0,0,0,leakm001
0,CIN201507221,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,leakm001
0,SLN201404090,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,leakm001
0,SLN201408180,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SLN201409200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,LAN201705240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,leakm001
0,SDN201604240,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,leakm001
0,SDN201407010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,SFN201406260,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,leakm001
0,MIL201406150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,MIL201407230,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,leakm001
0,MIL201409140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,PIT201404210,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,leakm001
0,PIT201408290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,CHN201504130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,CHN201506130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,LAN201908110,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,leakm001
0,LAN201509020,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,leakm001
0,SFN201508280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,SFN201509130,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,leakm001
0,SFN201509150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,SFN201509190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,SFN201509300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,MIA201507100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,leakm001
0,PIT201707140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,PIT201708200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,ARI201808260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,PHI201608210,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,leakm001
0,CHN201706030,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,leakm001
0,CHN201707210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,WAS201704120,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,leakm001
0,CIN201706080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,leakm001
0,CIN201708040,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,leakm001
0,CHN201608140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,leakm001
0,CHN201609230,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,leakm001
0,MIL201906270,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,leakm001
0,WAS201405190,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,leakm001
