,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201409240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,ATL201706170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,PIT201604150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,PIT201605010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201605190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lockj001
0,PIT201605250,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lockj001
0,PIT201606040,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,lockj001
0,PIT201606200,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201606250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201607200,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,lockj001
0,ARI201407310,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lockj001
0,SLN201605070,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lockj001
0,SLN201607060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,CIN201507310,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,lockj001
0,CIN201509070,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lockj001
0,SLN201409020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,COL201509240,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lockj001
0,SDN201604200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,MIL201408220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lockj001
0,PIT201405050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201406080,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201406190,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,lockj001
0,PIT201407010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201407060,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,lockj001
0,PIT201407200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201408060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lockj001
0,PIT201408110,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,lockj001
0,PIT201408270,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,lockj001
0,PIT201409130,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,lockj001
0,PIT201409190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,NYN201606150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,CHN201504280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,CHN201505150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,LAN201509180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,MIA201508260,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,lockj001
0,COL201407260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201706110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PHI201409080,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,lockj001
0,SDN201505310,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,lockj001
0,CHN201706060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,COL201604250,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,lockj001
0,COL201606090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,MIA201706010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,MIA201706220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,MIA201706280,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,lockj001
0,CHN201605140,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,lockj001
0,CHN201608290,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,WAS201408160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lockj001
0,SLN201707030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,MIA201605300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lockj001
0,ATL201608030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,CIN201407110,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,lockj001
0,MIA201406130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lockj001
0,MIL201504100,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,lockj001
0,MIL201507190,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,lockj001
0,MIL201509020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,SLN201508110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,CIN201604100,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,lockj001
0,ATL201506060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201504180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lockj001
0,PIT201504230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,PIT201505050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201505100,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,lockj001
0,PIT201505200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201505260,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201506120,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lockj001
0,PIT201506230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,PIT201506280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,PIT201507040,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lockj001
0,PIT201507090,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,lockj001
0,PIT201507240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lockj001
0,PIT201508050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201508210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
0,PIT201509120,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,lockj001
0,NYN201508160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lockj001
