,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201906010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,ATL201906020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lugod001
0,NYN201905240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,lugod001
0,NYN201905250,4,4,0,0,0,0,0,0,0,0,7,0,0,0,0,lugod001
0,NYN201905260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,OAK201909060,3,3,0,0,0,0,0,0,0,2,5,0,0,0,0,lugod001
0,OAK201909070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,OAK201909080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,BAL201905290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,NYA201808300,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,NYA201808310,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,NYA201809010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,NYA201809020,3,3,0,0,0,0,0,0,0,1,5,0,0,0,0,lugod001
0,CHA201809030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,CHA201809040,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,lugod001
0,CHA201809050,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,lugod001
0,MIN201908230,3,1,2,0,0,0,0,0,0,1,3,0,0,0,0,lugod001
0,MIN201908240,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,lugod001
0,MIN201908250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,CLE201906220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lugod001
0,CLE201909170,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,lugod001
0,CLE201909180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,CLE201909190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,PIT201906190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,KCA201906120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,KCA201906130,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,KCA201909030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,KCA201909040,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,lugod001
0,KCA201909050,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,lugod001
0,CLE201809140,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,CLE201809150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,CLE201809160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,MIN201809250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,MIN201809260,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,MIN201809270,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,lugod001
0,DET201809070,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,lugod001
0,DET201809080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,DET201809090,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,lugod001
0,DET201809100,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,lugod001
0,DET201809110,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,lugod001
0,DET201809120,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lugod001
0,DET201809170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,DET201809180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,DET201809190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lugod001
0,DET201809200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,DET201809210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,MIL201809280,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,lugod001
0,MIL201809290,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,MIL201809300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lugod001
0,TBA201908160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,TBA201908170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lugod001
0,TBA201908180,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,lugod001
0,HOU201908190,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,lugod001
