,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201909190,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,BAL201604080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,BAL201604100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,BAL201606240,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,morrl001
0,BAL201606251,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,BAL201606252,3,2,1,0,0,0,0,0,0,1,5,0,0,0,0,morrl001
0,BAL201606260,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,morrl001
0,KCA201509230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,KCA201509240,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,morrl001
0,OAK201504100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morrl001
0,OAK201504110,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,morrl001
0,OAK201504120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,OAK201507020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,morrl001
0,OAK201507030,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,morrl001
0,OAK201507040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,OAK201507050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,OAK201509040,3,2,1,0,0,0,0,0,0,2,4,0,0,0,0,morrl001
0,OAK201509050,1,0,0,0,1,0,0,0,0,3,5,0,0,0,0,morrl001
0,OAK201509060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,BOS201807270,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,morrl001
0,BOS201807280,1,0,0,0,1,0,1,0,0,1,4,0,0,0,0,morrl001
0,BOS201807290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morrl001
0,NYN201909060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,CIN201909020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,CIN201909030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,CIN201909040,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,morrl001
0,CIN201909050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,WAS201909230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,WAS201909241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,WAS201909242,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,morrl001
0,WAS201909250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,WAS201909260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,TOR201409220,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,morrl001
0,TOR201409230,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,TOR201409240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morrl001
0,TOR201409250,2,0,0,0,2,0,0,0,0,4,4,0,0,0,0,morrl001
0,DET201408150,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,morrl001
0,DET201408160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,morrl001
0,DET201408170,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,morrl001
0,MIA201908240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morrl001
0,BOS201508140,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,morrl001
0,BOS201508150,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,morrl001
0,BOS201508160,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,morrl001
0,ANA201605070,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,morrl001
0,ANA201605080,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,morrl001
0,SEA201805260,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,morrl001
0,SEA201805270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morrl001
