,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201606210,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,norrd001
0,ATL201408150,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,ATL201408160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,norrd001
0,ATL201408170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,PIT201608090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,PIT201608110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,norrd001
0,OAK201506170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,OAK201506180,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,norrd001
0,TOR201405230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,TOR201405240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,TOR201405250,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,DET201407020,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,WAS201607220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,WAS201607240,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,norrd001
0,TBA201405200,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,norrd001
0,TBA201405210,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,norrd001
0,TBA201405220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,norrd001
0,SFN201604250,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,norrd001
0,SFN201604260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,SFN201604270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,SFN201605230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,norrd001
0,SFN201605240,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,SFN201605250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,SFN201609130,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,norrd001
0,SFN201609140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,BOS201704140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,BOS201704150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,norrd001
0,BOS201704170,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,BOS201705120,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,BOS201705130,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,norrd001
0,ARI201605270,2,0,1,0,1,2,0,0,0,3,3,0,0,0,0,norrd001
0,ARI201605280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,ARI201607040,2,0,1,0,1,0,0,0,0,3,4,0,0,0,0,norrd001
0,ARI201607060,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,norrd001
0,ARI201610010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,norrd001
0,BOS201405020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,norrd001
0,BOS201405030,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,norrd001
0,BOS201405040,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,norrd001
0,SEA201605300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,norrd001
0,ARI201505070,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,norrd001
0,ARI201505080,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,norrd001
0,ARI201505090,2,1,1,0,0,0,0,0,0,1,6,0,0,0,0,norrd001
0,ARI201505100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,norrd001
0,ARI201506190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,ARI201506200,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,norrd001
0,ARI201506210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,ARI201509140,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,norrd001
0,SLN201607180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,SLN201607202,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,SLN201607210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,norrd001
0,MIL201605120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,norrd001
0,MIL201605140,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,norrd001
0,MIL201605150,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,norrd001
0,CIN201506050,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,norrd001
0,CIN201506060,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,norrd001
