,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201509060,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,ATL201405090,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,olt-m001
0,ATL201405100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,ATL201405110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,TOR201409080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,TOR201409090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,TOR201409100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,ARI201407190,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,olt-m001
0,BOS201407020,2,0,1,0,1,0,0,0,0,2,5,0,0,0,0,olt-m001
0,DET201509211,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,olt-m001
0,DET201509212,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,DET201509230,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,olt-m001
0,SLN201404110,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,SLN201404120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,olt-m001
0,SLN201404130,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,olt-m001
0,SLN201405120,2,1,0,0,1,0,0,0,0,2,6,0,0,0,0,olt-m001
0,SLN201405130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,olt-m001
0,SLN201405150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,olt-m001
0,COL201504100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,COL201504110,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,olt-m001
0,COL201504120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,SDN201405220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,SDN201405230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,olt-m001
0,SDN201405250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,SFN201405270,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,SFN201405280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,MIL201404260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,MIL201404270,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,olt-m001
0,MIL201405300,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,olt-m001
0,MIL201406010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,MIL201409260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,PIT201403310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,PIT201404020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,PIT201404030,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,olt-m001
0,PIT201406100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,olt-m001
0,PIT201406110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,PIT201409120,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,PIT201409130,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,olt-m001
0,PIT201409140,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,olt-m001
0,CHN201404040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,CHN201404050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
0,CHN201404060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,CHN201404080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,olt-m001
0,CHN201404090,2,1,0,0,1,0,0,0,0,3,5,0,0,0,0,olt-m001
0,CHN201404100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,olt-m001
0,CHN201404190,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,olt-m001
0,CHN201404200,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,olt-m001
0,CHN201404220,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,olt-m001
0,CHN201404230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,olt-m001
