,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201409080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,NYN201409090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,OAK201506290,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,paulb001
0,OAK201506300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,paulb001
0,OAK201507010,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,paulb001
0,ARI201408100,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,paulb001
0,SFN201605050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,SFN201605060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,SFN201605070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,SFN201605080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,paulb001
0,ARI201604050,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,paulb001
0,ARI201604290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,ARI201604300,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,ARI201605010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,paulb001
0,ARI201507020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,paulb001
0,ARI201507040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,ARI201507050,1,1,0,0,0,0,1,1,0,1,3,0,0,0,0,paulb001
0,ARI201509300,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,ARI201510010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,MIL201608220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,paulb001
0,MIL201608230,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,MIL201608240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,paulb001
0,CIN201505250,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,paulb001
0,CIN201505260,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,paulb001
0,CIN201505270,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,paulb001
0,SLN201409120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,SLN201409130,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,paulb001
0,COL201505190,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,paulb001
0,COL201505200,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,paulb001
0,COL201505210,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,paulb001
