,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201708080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,ATL201708090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,perkc001
0,ATL201709220,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,MIL201707140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,perkc001
0,MIL201707160,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,perkc001
0,NYN201706300,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,NYN201709040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,SFN201708180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,perkc001
0,SFN201708190,1,1,0,0,0,0,0,0,1,2,4,0,0,0,0,perkc001
0,SFN201708200,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,perkc001
0,SDN201708150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,SDN201708160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,perkc001
0,ARI201706230,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,perkc001
0,ARI201706240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,perkc001
0,ARI201706250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,perkc001
0,ARI201706260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,MIA201707170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,perkc001
0,MIA201707180,2,2,0,0,0,0,1,0,0,2,4,0,0,0,0,perkc001
0,MIA201709030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,perkc001
0,PHI201706200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201706210,2,2,0,0,0,0,0,0,0,1,6,0,0,0,0,perkc001
0,PHI201706220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,perkc001
0,PHI201707040,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201707060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201707070,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,perkc001
0,PHI201707080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201707090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201707210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201707220,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,perkc001
0,PHI201707230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201707240,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,perkc001
0,PHI201707250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,perkc001
0,PHI201707260,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,perkc001
0,PHI201707290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,perkc001
0,PHI201707300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201707310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201708222,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,perkc001
0,PHI201709120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,PHI201709140,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,perkc001
0,PHI201709200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,perkc001
0,SEA201706270,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,perkc001
0,SEA201706280,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,perkc001
