,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,MIL201706050,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,MIL201707140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,philb002
0,MIL201707150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,MIL201707160,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,philb002
0,MIL201709020,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,philb002
0,MIL201709030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,philb002
0,MIL201709120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,philb002
0,MIL201709130,2,2,0,0,0,0,0,0,0,3,4,0,0,0,0,philb002
0,MIL201709210,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,philb002
0,MIL201709220,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,philb002
0,MIL201709230,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,philb002
0,MIL201709260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,MIL201709270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,philb002
0,MIL201709280,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,philb002
0,COL201805100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,philb002
0,MIA201909060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,philb002
0,MIA201909080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,philb002
0,OAK201909160,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,philb002
0,OAK201909180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,philb002
0,CIN201805010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,philb002
0,CIN201805020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,philb002
0,CIN201809250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,philb002
0,TBA201808200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,TBA201808220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,TBA201808230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,philb002
0,BAL201908200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,BAL201908210,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,philb002
0,NYA201807290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,philb002
0,CHA201807310,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,philb002
0,CHA201808010,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,philb002
0,CHA201808020,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,philb002
0,CHA201808180,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,philb002
0,CHA201808190,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,philb002
0,ARI201706090,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,philb002
0,ARI201706100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,philb002
0,ARI201706110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,philb002
0,MIN201909210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,CLE201908230,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,philb002
0,CLE201908240,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,philb002
0,PIT201707170,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,philb002
0,PIT201707200,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,philb002
0,PIT201709180,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,philb002
