,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201909270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,polla001
0,SFN201909290,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,polla001
0,ATL201908160,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,polla001
0,ATL201908170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,polla001
0,ATL201908180,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,polla001
0,ATL201707140,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,polla001
0,ATL201707150,2,2,0,0,0,2,0,0,0,0,3,0,0,0,0,polla001
0,ATL201707160,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,polla001
0,NYN201405240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,NYN201405251,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,NYN201405252,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,NYN201708210,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,polla001
0,NYN201708220,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,polla001
0,NYN201708230,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,polla001
0,NYN201909130,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,polla001
0,NYN201909140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,polla001
0,WAS201907260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,WAS201907270,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,polla001
0,WAS201907280,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,CHN201904230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,CHN201904240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,CHN201904250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,COL201807100,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,polla001
0,COL201807110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,polla001
0,COL201807120,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,polla001
0,COL201809100,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,polla001
0,COL201809110,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,COL201809120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,polla001
0,COL201809130,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,polla001
0,ARI201403220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,ARI201403230,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,polla001
0,ARI201403310,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,polla001
0,ARI201404010,3,2,1,0,0,0,0,0,0,1,4,0,0,0,0,polla001
0,ARI201404020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,polla001
0,ARI201404030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,ARI201404110,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,polla001
0,ARI201404120,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,polla001
0,ARI201404130,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,polla001
0,ARI201404140,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,polla001
0,ARI201404150,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,polla001
0,ARI201404160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,polla001
0,ARI201404250,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,polla001
0,ARI201404260,3,1,1,1,0,0,0,0,0,1,5,0,0,0,0,polla001
0,ARI201404270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,polla001
0,ARI201404280,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,polla001
0,ARI201404290,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,polla001
0,ARI201404300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,polla001
0,ARI201405120,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,polla001
0,ARI201405130,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,polla001
0,ARI201405140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,polla001
0,ARI201405160,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,polla001
0,ARI201405170,4,2,0,1,1,0,0,0,0,2,6,0,0,0,0,polla001
0,ARI201405180,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,ARI201405260,3,2,0,0,1,0,0,0,0,2,5,0,0,0,0,polla001
0,ARI201405270,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,polla001
0,ARI201405280,3,1,2,0,0,0,0,0,0,2,4,0,0,0,0,polla001
0,ARI201405290,2,0,1,1,0,0,0,0,0,0,4,0,0,0,0,polla001
0,ARI201405300,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,polla001
0,ARI201405310,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,polla001
0,ARI201409120,3,2,0,0,1,0,0,0,0,4,4,0,0,0,0,polla001
0,ARI201409130,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,polla001
0,ARI201409140,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,polla001
0,ARI201409150,1,0,0,1,0,1,0,0,0,1,3,0,0,0,0,polla001
0,ARI201409160,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,polla001
0,ARI201409170,2,1,0,1,0,0,0,0,0,0,5,0,0,0,0,polla001
0,ARI201409260,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,polla001
0,ARI201409270,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,polla001
0,ARI201409280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,polla001
0,MIA201908130,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,polla001
