,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201507240,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,rasmc001
0,KCA201507250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,KCA201507260,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,rasmc001
0,CHA201605170,1,1,0,0,0,0,1,0,0,0,6,0,0,0,0,rasmc001
0,CHA201605180,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,rasmc001
0,OAK201504240,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,rasmc001
0,OAK201504250,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,rasmc001
0,OAK201504260,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,rasmc001
0,OAK201508060,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,rasmc001
0,OAK201508070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,OAK201508080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,OAK201508090,2,0,1,0,1,0,0,0,0,3,4,0,0,0,0,rasmc001
0,OAK201509090,2,0,1,0,1,1,0,0,0,1,4,0,0,0,0,rasmc001
0,TOR201404040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201404050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201404060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rasmc001
0,TOR201404080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201404090,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201404100,3,2,0,0,1,0,0,0,0,1,4,0,0,0,0,rasmc001
0,TOR201404220,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,rasmc001
0,TOR201404230,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,rasmc001
0,TOR201404240,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,rasmc001
0,TOR201404250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201404260,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,rasmc001
0,TOR201405070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201405080,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,rasmc001
0,TOR201405090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201405110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201405120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201406230,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201406240,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,rasmc001
0,TOR201406250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201406260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201406270,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,rasmc001
0,TOR201406280,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,rasmc001
0,TOR201406290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201407010,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,rasmc001
0,TOR201407020,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201407180,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,rasmc001
0,TOR201407190,2,2,0,0,0,0,1,0,0,0,4,0,0,0,0,rasmc001
0,TOR201407200,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,rasmc001
0,TOR201407210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201407220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201407230,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,rasmc001
0,TOR201408050,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,rasmc001
0,TOR201408060,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201408070,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201408080,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,rasmc001
0,TOR201408090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201408100,2,1,1,0,0,1,0,0,0,0,8,0,0,0,0,rasmc001
0,TOR201408220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201408230,2,1,1,0,0,0,1,0,0,0,4,0,0,0,0,rasmc001
0,TOR201408240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201408250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TOR201408290,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201408310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,TOR201409090,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,rasmc001
0,TOR201409120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rasmc001
0,TOR201409140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,BOS201507040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,BOS201507050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rasmc001
0,TBA201403310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TBA201404010,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TBA201404020,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,TBA201404030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TBA201407110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TBA201407120,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,TBA201407130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rasmc001
0,TBA201409040,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,rasmc001
0,ANA201605270,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,ANA201605290,0,0,0,0,0,2,1,1,0,0,3,0,0,0,0,rasmc001
0,ANA201606270,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,rasmc001
0,ANA201606280,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,rasmc001
0,HOU201604110,2,1,0,0,1,0,1,0,0,2,4,0,0,0,0,rasmc001
0,HOU201604120,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,rasmc001
0,HOU201604130,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,rasmc001
0,HOU201604140,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rasmc001
0,HOU201604150,2,2,0,0,0,1,0,0,0,1,3,0,0,0,0,rasmc001
0,HOU201604160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201604170,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,rasmc001
0,HOU201604220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201604230,2,0,1,0,1,1,0,0,0,5,4,0,0,0,0,rasmc001
0,HOU201604240,1,0,0,0,1,1,0,0,0,2,5,0,0,0,0,rasmc001
0,HOU201605020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201605030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201605040,1,1,0,0,0,1,0,0,0,2,4,0,0,0,0,rasmc001
0,HOU201605060,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,rasmc001
0,HOU201605070,2,0,2,0,0,0,0,0,0,1,5,0,0,0,0,rasmc001
0,HOU201605080,1,1,0,0,0,1,1,0,0,1,3,0,0,0,0,rasmc001
0,HOU201605090,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,rasmc001
0,HOU201605100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201605110,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,rasmc001
0,HOU201605200,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,rasmc001
0,HOU201605210,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,rasmc001
0,HOU201605220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201605240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rasmc001
0,HOU201605250,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,rasmc001
0,HOU201605260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201606020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201606030,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,rasmc001
0,HOU201606040,2,0,2,0,0,1,0,0,0,1,4,0,0,0,0,rasmc001
0,HOU201606050,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,rasmc001
0,HOU201606170,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201606180,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,rasmc001
0,HOU201606200,3,3,0,0,0,0,1,0,0,1,5,0,0,0,0,rasmc001
0,HOU201606210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rasmc001
0,HOU201606220,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rasmc001
0,HOU201607010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,rasmc001
