,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201704150,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,PIT201605020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,COL201804090,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,richc002
0,NYN201807250,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,richc002
0,SFN201609130,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,richc002
0,ARI201610010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,PHI201807200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,SFN201704300,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,CIN201507200,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,richc002
0,LAN201704040,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,richc002
0,LAN201708110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,LAN201709270,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,richc002
0,SDN201704090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201704200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201705060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,SDN201705160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201705210,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,richc002
0,SDN201706020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201706130,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,richc002
0,SDN201706250,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,richc002
0,SDN201706300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,SDN201707140,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,richc002
0,SDN201707240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201707300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201708160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,richc002
0,SDN201709021,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201709070,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
0,SDN201709210,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,richc002
0,SDN201608200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,richc002
0,SDN201609080,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,richc002
0,SDN201609190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,richc002
0,SDN201609250,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,richc002
0,MIA201806100,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,richc002
0,SDN201803290,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,richc002
0,SDN201804040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,SDN201804120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,SDN201804140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richc002
0,SDN201804270,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,richc002
0,SDN201805080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richc002
