,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,robed004
0,SFN201904060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,SFN201904070,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,robed004
0,BOS201804050,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,robed004
0,BOS201804080,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,robed004
0,BOS201804270,2,0,1,0,1,0,0,0,0,1,3,0,0,0,0,robed004
0,BOS201804280,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,robed004
0,BOS201804290,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,OAK201805280,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,robed004
0,OAK201805290,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,robed004
0,OAK201805300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,OAK201805310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,MIA201905140,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,robed004
0,MIA201905150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,robed004
0,SEA201806010,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,robed004
0,SEA201806020,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,SEA201806030,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,NYN201807060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,robed004
0,NYN201807070,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,robed004
0,NYN201807080,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,robed004
0,BOS201704150,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,robed004
0,BOS201704160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,BOS201705130,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,robed004
0,NYA201905170,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,NYA201905190,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,robed004
0,NYA201906190,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,robed004
0,BOS201904270,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,robed004
0,BOS201904280,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,robed004
0,BOS201906082,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,BOS201906090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,robed004
0,ANA201805170,2,2,0,0,0,3,0,0,0,1,2,0,0,0,0,robed004
0,ANA201805180,2,1,0,0,1,1,0,0,0,1,4,0,0,0,0,robed004
0,ANA201805190,1,0,0,0,1,1,0,0,0,4,4,0,0,0,0,robed004
0,ANA201805200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201803290,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,robed004
0,TBA201803300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,robed004
0,TBA201804140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,robed004
0,TBA201804150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201804160,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,robed004
0,TBA201804170,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,robed004
0,TBA201804180,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,robed004
0,TBA201804200,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,robed004
0,TBA201804210,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,robed004
0,TBA201804220,4,3,1,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201805040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,robed004
0,TBA201805060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201805080,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,robed004
0,TBA201805090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201805220,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,robed004
0,TBA201805230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201805240,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,robed004
0,TBA201805250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,robed004
0,TBA201805260,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201805270,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,robed004
0,TBA201806070,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,robed004
0,TBA201806080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,robed004
0,TBA201806090,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,robed004
0,TBA201806100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,robed004
0,TBA201806220,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,robed004
0,TBA201806230,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,robed004
