,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201608040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rua-r001
0,CHA201604220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,CHA201604240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,OAK201504060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,OAK201504070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,OAK201504080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,OAK201504090,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,rua-r001
0,BOS201807090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rua-r001
0,BOS201807110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,OAK201804020,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,OAK201804030,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,OAK201804040,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,rua-r001
0,OAK201804050,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,rua-r001
0,ANA201604090,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,ANA201607180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,ANA201607190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,ANA201607200,2,2,0,0,0,0,0,0,1,1,4,0,0,0,0,rua-r001
0,ANA201609100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,SEA201805280,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,rua-r001
0,SEA201809270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,SEA201809290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,HOU201605200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rua-r001
0,HOU201605210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,HOU201605220,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,HOU201608050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,HOU201608070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rua-r001
0,BOS201705240,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,BOS201705250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TOR201804280,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TOR201804290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,BAL201507010,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,rua-r001
0,SEA201604110,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,SEA201604120,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,SEA201606100,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,rua-r001
0,SEA201606110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,SEA201606120,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,rua-r001
0,SEA201609050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,SEA201609060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rua-r001
0,SEA201609070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rua-r001
0,SLN201606180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,TEX201504100,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,rua-r001
0,TEX201506230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201506240,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201507030,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,rua-r001
0,TEX201507040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201507050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201507280,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,rua-r001
0,TEX201507300,2,1,0,0,1,0,0,0,0,1,3,0,0,0,0,rua-r001
0,TEX201507310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201508050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201509120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,COL201507200,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,COL201507210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,SDN201705080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,SDN201705090,1,0,0,0,1,0,0,0,0,3,5,0,0,0,0,rua-r001
0,SDN201809150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,BAL201807130,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,rua-r001
0,BAL201807140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,BAL201807150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,CHA201805200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,OAK201409160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,OAK201409180,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,rua-r001
0,TOR201605040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rua-r001
0,TOR201605050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201803290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201803300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201804010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201804060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201804070,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,rua-r001
0,TEX201804080,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201804090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201804100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201804110,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,rua-r001
0,TEX201805030,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,rua-r001
0,TEX201805050,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,rua-r001
0,TEX201805060,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,rua-r001
0,TEX201805080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,TEX201805090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201805220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201805230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201805240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201806270,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,rua-r001
0,TEX201806290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,TEX201806300,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,rua-r001
0,TEX201807010,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,rua-r001
0,TEX201807030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201807200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,TEX201807220,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,rua-r001
0,TEX201807230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201807240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,TEX201807250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,TEX201809180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,TEX201809230,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,DET201705190,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,rua-r001
0,DET201705200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,DET201705210,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,rua-r001
0,TBA201608210,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,rua-r001
0,WAS201706090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,WAS201706100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rua-r001
0,HOU201804140,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,rua-r001
0,HOU201805130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
0,ANA201704110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,ANA201708210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,ANA201708230,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,rua-r001
0,HOU201705020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,HOU201705030,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,rua-r001
0,HOU201706140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,CLE201805010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,CLE201805020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,CHN201607150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,CHN201607160,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,rua-r001
0,CHN201607170,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,rua-r001
0,OAK201704180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rua-r001
0,OAK201708260,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,rua-r001
0,DET201807060,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,rua-r001
0,TOR201705270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TOR201705280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rua-r001
0,TEX201409040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rua-r001
