,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201605030,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,BAL201605040,1,1,0,0,0,3,0,0,0,0,2,0,0,0,0,teixm001
0,BAL201605050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,BAL201606030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,teixm001
0,BAL201609020,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,teixm001
0,BAL201609030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,teixm001
0,KCA201505150,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,teixm001
0,KCA201505160,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,teixm001
0,KCA201505170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,teixm001
0,CHA201607050,2,1,1,0,0,0,0,0,1,2,5,0,0,0,0,teixm001
0,CHA201607060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,NYN201405140,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,teixm001
0,NYN201405150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,OAK201505280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,OAK201505300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,OAK201505310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,TOR201404040,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,teixm001
0,TOR201406230,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,teixm001
0,TOR201406240,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,teixm001
0,TOR201406250,1,0,0,0,1,0,0,0,1,3,4,0,0,0,0,teixm001
0,TOR201408290,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,teixm001
0,TOR201408300,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,TOR201408310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,DET201408260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,DET201408270,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,teixm001
0,DET201408280,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,teixm001
0,BOS201505010,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,teixm001
0,BOS201505020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,BOS201505030,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,teixm001
0,BOS201507100,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,teixm001
0,BOS201507110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,BOS201507120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,TBA201404200,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,teixm001
0,TBA201408150,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,TBA201408160,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,TBA201408170,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,teixm001
0,TBA201409150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,TBA201409170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,ANA201608210,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,HOU201607250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,HOU201607260,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,teixm001
0,HOU201607270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,ARI201605160,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,ARI201605170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,ARI201605180,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,teixm001
0,BOS201404220,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,teixm001
0,BOS201404230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,BOS201404240,1,0,0,0,1,3,0,0,0,1,3,0,0,0,0,teixm001
0,BOS201408010,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,BOS201408020,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,teixm001
0,BOS201408030,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,teixm001
0,BOS201409280,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,teixm001
0,BAL201504130,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,teixm001
0,BAL201504140,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,teixm001
0,BAL201504150,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,BAL201506120,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,BAL201506130,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,teixm001
0,BAL201506140,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,teixm001
0,SEA201608220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,teixm001
0,SEA201608230,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,teixm001
0,SEA201608240,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,teixm001
0,DET201504200,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,teixm001
0,DET201504210,1,0,1,0,0,2,0,0,0,1,3,0,0,0,0,teixm001
0,DET201504220,1,0,0,0,1,1,0,0,0,3,4,0,0,0,0,teixm001
0,DET201504230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,teixm001
0,TEX201507270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,TEX201507280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,TEX201507300,3,1,0,0,2,1,0,0,0,2,4,0,0,0,0,teixm001
0,SDN201607010,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,teixm001
0,SDN201607020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,SDN201607030,2,0,0,0,2,0,0,0,0,3,5,0,0,0,0,teixm001
0,MIL201405090,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,teixm001
0,MIL201405100,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,teixm001
0,MIL201405110,2,1,0,0,1,1,0,0,0,1,4,0,0,0,0,teixm001
0,NYN201608010,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,teixm001
0,NYN201608020,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,teixm001
0,CHN201405200,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,teixm001
0,CHN201405210,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,teixm001
0,NYA201404250,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,teixm001
0,NYA201404260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,teixm001
0,NYA201404270,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,teixm001
0,NYA201404290,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,teixm001
0,NYA201405010,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,NYA201405020,2,1,0,0,1,0,0,0,0,1,6,0,0,0,0,teixm001
0,NYA201405030,2,1,0,0,1,1,0,0,0,3,4,0,0,0,0,teixm001
0,NYA201405040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,NYA201405120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,teixm001
0,NYA201405130,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,teixm001
0,NYA201405170,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,teixm001
0,NYA201405181,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,teixm001
0,NYA201405182,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,teixm001
0,NYA201405300,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,teixm001
0,NYA201405310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,teixm001
0,NYA201406030,2,1,0,0,1,0,0,0,0,2,5,0,0,0,0,teixm001
0,NYA201406040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,NYA201406050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,NYA201406170,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,teixm001
0,NYA201406180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,teixm001
0,NYA201406190,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,teixm001
0,NYA201406200,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,teixm001
0,NYA201406210,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,teixm001
