,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201906140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,ATL201906150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,willn001
0,ATL201906160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,ATL201708080,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,willn001
0,ATL201708090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,ATL201709220,2,2,0,0,0,0,0,0,1,2,3,0,0,0,0,willn001
0,ATL201709230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,ATL201709240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,MIL201707140,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,willn001
0,MIL201707150,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,MIL201707160,2,1,0,0,1,0,0,0,0,4,4,0,0,0,0,willn001
0,BOS201807310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,NYN201706300,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,NYN201707010,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,NYN201707020,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,willn001
0,NYN201709040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,NYN201709050,2,1,1,0,0,0,0,0,0,3,5,0,0,0,0,willn001
0,NYN201709060,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,willn001
0,NYN201904220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,NYN201904230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,NYN201904240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,CIN201909020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,WAS201904020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,WAS201904030,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,willn001
0,WAS201909241,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,WAS201909260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,MIA201904120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,willn001
0,MIA201904130,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,willn001
0,MIA201904140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,NYN201804030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,NYN201804040,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,willn001
0,NYN201807091,3,3,0,0,0,0,0,0,0,1,5,0,0,0,0,willn001
0,NYN201807092,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,NYN201807100,3,3,0,0,0,0,0,0,0,2,5,0,0,0,0,willn001
0,NYN201807110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,NYN201809070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,NYN201809080,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,willn001
0,NYN201809090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,CIN201807260,4,2,0,0,2,0,0,0,0,2,5,0,0,0,0,willn001
0,CIN201807270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,CIN201807280,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,CIN201807290,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,TOR201808240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,TOR201808250,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,willn001
0,TOR201808260,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,willn001
0,PHI201804070,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,willn001
0,PHI201804080,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,willn001
0,PHI201804090,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,willn001
0,PHI201804100,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,PHI201804110,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,willn001
0,PHI201804190,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,PHI201804200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201804210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201804220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,PHI201804240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201804270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201804280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201804290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201805070,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,willn001
0,PHI201805080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,willn001
0,PHI201805090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,PHI201805100,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201805110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201805130,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,willn001
0,PHI201805210,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,willn001
0,PHI201805220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201805230,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,willn001
0,PHI201805250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,willn001
0,PHI201805260,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,willn001
0,PHI201805270,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,willn001
0,PHI201806080,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201806090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,willn001
0,PHI201806100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201806120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,PHI201806130,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201806140,2,0,1,0,1,1,0,0,0,2,3,0,0,0,0,willn001
0,PHI201806180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,PHI201806200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201806250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201806260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201806280,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,willn001
0,PHI201806290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,willn001
0,PHI201806300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201807010,2,2,0,0,0,0,1,0,0,0,5,0,0,0,0,willn001
0,PHI201807030,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,willn001
0,PHI201807040,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,willn001
0,PHI201807200,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,PHI201807221,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,willn001
0,PHI201807222,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201807230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201807240,2,1,0,0,1,1,0,0,0,1,6,0,0,0,0,willn001
0,PHI201807250,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,willn001
0,PHI201808020,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,willn001
0,PHI201808030,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201808040,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,willn001
0,PHI201808050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,PHI201808140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201808150,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201808161,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,willn001
0,PHI201808162,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,willn001
0,PHI201808170,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,willn001
0,PHI201808180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201808190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201808270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,willn001
0,PHI201808280,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,PHI201808290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201809010,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,willn001
0,PHI201809020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,PHI201809111,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,PHI201809112,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,willn001
0,PHI201809120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,willn001
0,PHI201809170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201809180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
0,SFN201708170,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,willn001
0,SFN201708180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,SFN201708190,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,willn001
0,SFN201708200,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,willn001
0,PHI201903280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,willn001
