,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201909030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alfoa002
0,MIL201705230,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,NYA201909200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,alfoa002
0,NYA201909220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,TOR201805080,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,alfoa002
0,TOR201805100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,alfoa002
0,TOR201805110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,alfoa002
0,TOR201805120,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,alfoa002
0,TOR201805130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,TOR201809200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alfoa002
0,TOR201809210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alfoa002
0,TBA201805060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,alfoa002
0,TBA201809290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,alfoa002
0,BAL201909180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alfoa002
0,TOR201904020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,alfoa002
0,TOR201909120,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,TOR201909140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,TOR201909230,2,1,0,0,1,0,0,0,0,1,3,0,0,0,0,alfoa002
0,TOR201909240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,alfoa002
0,TOR201909280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,TOR201909290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,TBA201909060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,alfoa002
0,TBA201909080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alfoa002
0,BAL201705190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,alfoa002
0,BAL201705200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,alfoa002
0,BAL201705210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,alfoa002
