,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201405251,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,arrob001
0,ARI201404030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,arrob001
0,ARI201404150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,arrob001
0,ARI201404260,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,arrob001
0,ARI201405130,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,arrob001
0,ARI201405300,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,arrob001
0,ARI201406100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,SFN201705110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,SLN201405200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,SDN201706120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,SDN201405020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,arrob001
0,SFN201404090,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,MIL201405070,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,arrob001
0,CHN201404210,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,COL201406050,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,arrob001
0,CHN201705160,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,CIN201704130,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,arrob001
0,CIN201704180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,arrob001
0,CIN201704230,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,arrob001
0,CIN201705050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,arrob001
0,CIN201705210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,CIN201706020,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,arrob001
0,CIN201706030,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,arrob001
0,CIN201706070,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,CIN201706180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,arrob001
0,SLN201704080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,arrob001
0,SLN201704300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
0,LAN201406150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,arrob001
0,PHI201705270,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,arrob001
