,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201705230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,asuac001
0,NYN201705240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,asuac001
0,OAK201807030,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,asuac001
0,OAK201807040,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,asuac001
0,COL201804090,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,asuac001
0,COL201804100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,COL201804110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,asuac001
0,COL201804230,2,1,0,0,1,0,0,0,0,4,5,0,0,0,0,asuac001
0,COL201804240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,asuac001
0,COL201804250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,asuac001
0,NYN201807230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,NYN201807240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,asuac001
0,NYN201807250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,asuac001
0,ARI201610010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,asuac001
0,PHI201807200,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,asuac001
0,PHI201807221,2,0,2,0,0,0,0,0,1,1,4,0,0,0,0,asuac001
0,PHI201807222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,asuac001
0,SFN201707210,4,4,0,0,0,0,0,0,0,3,7,0,0,0,0,asuac001
0,SFN201707220,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,asuac001
0,SFN201707230,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,asuac001
0,SFN201709290,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,SFN201709300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,SFN201710010,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,asuac001
0,LAN201708110,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,LAN201708120,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,asuac001
0,LAN201708130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,asuac001
0,LAN201709250,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,asuac001
0,LAN201709270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,asuac001
0,SDN201706230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,asuac001
0,SDN201706240,2,1,1,0,0,0,1,1,0,0,3,0,0,0,0,asuac001
0,SDN201706250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,SDN201706270,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,asuac001
0,SDN201706280,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,asuac001
0,SDN201706290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,SDN201706300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,asuac001
0,SDN201707010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,asuac001
0,SDN201707020,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,asuac001
0,SDN201707140,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,asuac001
