,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201608090,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,blasj001
0,PIT201608100,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,blasj001
0,PIT201608110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,OAK201806160,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,blasj001
0,OAK201809190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,OAK201809200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,COL201805080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,blasj001
0,COL201805090,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,SEA201805060,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,blasj001
0,SEA201806110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,blasj001
0,SEA201806120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,SFN201604250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SFN201604270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SFN201704280,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,blasj001
0,SFN201704300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,SFN201707200,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,SFN201707210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SFN201707220,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,blasj001
0,SFN201707230,1,0,1,0,0,1,0,0,0,2,3,0,0,0,0,blasj001
0,SFN201710010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,ANA201807200,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,blasj001
0,ANA201807210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,ANA201807250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,ANA201809300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,LAN201709250,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,blasj001
0,LAN201709260,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,LAN201709270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201704070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SDN201704080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201705030,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,blasj001
0,SDN201705040,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,blasj001
0,SDN201705050,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,blasj001
0,SDN201705060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,SDN201705080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,blasj001
0,SDN201707140,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,blasj001
0,SDN201707150,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,blasj001
0,SDN201707160,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,SDN201707240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SDN201707250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SDN201707260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201707270,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201707280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201707290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201708190,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,blasj001
0,SDN201708200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,blasj001
0,SDN201708280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SDN201708290,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,blasj001
0,SDN201708300,2,2,0,0,0,2,0,0,0,1,2,0,0,0,0,blasj001
0,SDN201709010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201709021,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,blasj001
0,SDN201709022,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,blasj001
0,SDN201709030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SDN201709040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201709060,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,blasj001
0,SDN201709070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blasj001
0,SDN201709200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blasj001
