,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201406030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bloow001
0,ATL201406040,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,bloow001
0,OAK201504100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,bloow001
0,TBA201406070,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,bloow001
0,TBA201406080,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,bloow001
0,TBA201406090,2,2,0,0,0,0,1,0,0,0,4,0,0,0,0,bloow001
0,BAL201505200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,bloow001
0,BAL201505210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bloow001
0,TEX201504270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,bloow001
0,TEX201504290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,bloow001
0,NYA201404290,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,bloow001
0,LAN201504140,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,bloow001
0,LAN201504150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bloow001
0,OAK201405071,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bloow001
0,OAK201405072,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,bloow001
0,CHA201407040,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,bloow001
0,CHA201407050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,bloow001
0,TBA201505260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bloow001
0,MIN201405170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bloow001
0,TEX201404150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,bloow001
0,HOU201405040,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,bloow001
