,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,CIN201905150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,davit004
0,CHN201904200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,CHN201905040,1,0,0,0,1,0,0,0,0,4,3,0,0,0,0,davit004
0,CHN201905090,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,davit004
0,CHN201908060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,davit004
0,CHA201809210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,davit004
0,SEA201905010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,davit004
0,ARI201809180,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,CHN201709080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,CHN201709090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,CHN201709140,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,CHN201709290,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,CHN201709300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,CHN201710010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,davit004
0,MIL201809040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,davit004
0,SLN201709280,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,davit004
0,WAS201809060,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,davit004
0,WAS201809081,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,davit004
0,ARI201904270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,davit004
