,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904050,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,diazy001
0,SFN201904060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,SFN201904070,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,diazy001
0,BOS201808200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,BOS201808210,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,diazy001
0,BOS201808220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,BOS201808230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,MIA201905140,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,diazy001
0,MIA201905150,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,diazy001
0,CIN201808130,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,diazy001
0,CIN201808150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,diazy001
0,NYA201905170,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,diazy001
0,NYA201905180,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,diazy001
0,NYA201905190,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,diazy001
0,NYA201907150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,NYA201907160,2,0,1,0,1,0,0,0,0,2,4,0,0,0,0,diazy001
0,NYA201907181,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,diazy001
0,NYA201907182,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,TOR201809090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,BOS201904270,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,diazy001
0,BOS201904280,2,0,1,1,0,0,0,0,0,2,4,0,0,0,0,diazy001
0,BOS201906070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,BOS201906081,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,diazy001
0,BOS201906082,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,BOS201906090,4,3,0,0,1,0,0,0,0,1,5,0,0,0,0,diazy001
0,TBA201809120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,diazy001
0,BAL201905030,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,diazy001
0,BAL201907120,2,2,0,0,0,0,0,0,0,1,6,0,0,0,0,diazy001
