,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201405050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,ATL201405070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,NYN201404210,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,ellim001
0,NYN201404230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,NYN201404240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ellim001
0,TOR201406070,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,ellim001
0,TOR201406080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,ARI201409270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ellim001
0,TBA201406110,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,ellim001
0,SLN201404260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,SLN201404280,2,2,0,0,0,0,1,0,0,0,5,0,0,0,0,ellim001
0,SLN201404290,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,ellim001
0,SLN201405120,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,ellim001
0,SLN201405130,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,ellim001
0,SLN201405150,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,ellim001
0,SLN201405210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201405220,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,ellim001
0,SLN201405280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201405290,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ellim001
0,SLN201405300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,SLN201406010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201406020,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,ellim001
0,SLN201406140,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,SLN201406170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,SLN201406180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201406190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201406210,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,SLN201406220,1,1,0,0,0,0,1,1,0,2,3,0,0,0,0,ellim001
0,SLN201407050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,SLN201407060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201407100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201407190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201407200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,SLN201407220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ellim001
0,SLN201408010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ellim001
0,SLN201408140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,SLN201409120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,SLN201409140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SLN201409200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SDN201407300,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,SFN201407020,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,SFN201407030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,MIL201404150,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,ellim001
0,MIL201407120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,MIL201407130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,MIL201409040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,PIT201405090,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,ellim001
0,PIT201405100,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,ellim001
0,PIT201405110,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,ellim001
0,CHN201405020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,CHN201405030,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,ellim001
0,CHN201405040,3,2,1,0,0,0,0,0,0,1,4,0,0,0,0,ellim001
0,CHN201407250,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,ellim001
0,CHN201407260,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,ellim001
0,COL201406230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,COL201406240,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,COL201406250,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,ellim001
0,WAS201404180,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,ellim001
0,WAS201404190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,WAS201404200,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,CIN201405230,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,CIN201405240,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,ellim001
0,CIN201409090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,CIN201409100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,CIN201409110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellim001
0,LAN201406260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
0,LAN201406270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,LAN201406280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,LAN201406290,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,KCA201406040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ellim001
0,BAL201408080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ellim001
0,MIA201408120,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,ellim001
