,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201908300,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,engea001
0,ATL201908310,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,ATL201909010,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,engea001
0,OAK201804160,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,OAK201804180,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,engea001
0,SEA201807200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,SEA201807220,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,BOS201708030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,BOS201708040,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,engea001
0,BOS201708050,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CIN201807020,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,engea001
0,CIN201807030,0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,engea001
0,CIN201807040,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,NYA201904120,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,engea001
0,NYA201904130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,NYA201904140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,TOR201804020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,TOR201804030,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,engea001
0,TOR201804040,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,KCA201707210,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,KCA201707220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,KCA201707230,1,0,1,0,0,0,0,0,0,3,4,0,0,0,0,engea001
0,KCA201709110,3,2,0,0,1,0,0,0,0,3,4,0,0,0,0,engea001
0,KCA201709120,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,engea001
0,KCA201709130,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,engea001
0,PHI201908020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,PHI201908030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,PHI201908040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,ANA201807230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,ANA201807240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,ANA201807250,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,TBA201808040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,BAL201904220,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,engea001
0,BAL201904230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,BAL201904240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,LAN201708150,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CLE201706090,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CLE201709290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CLE201709300,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,engea001
0,CLE201710010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,NYA201808270,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,NYA201808280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,NYA201808290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,BAL201809150,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,engea001
0,BAL201809160,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201804050,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,engea001
0,CHA201804070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201804100,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,engea001
0,CHA201804110,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,engea001
0,CHA201804200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201804210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201804230,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,engea001
0,CHA201804240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,CHA201804250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201805030,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,engea001
0,CHA201805040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,CHA201805050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201805060,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201805090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201805180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201805190,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,CHA201805200,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201805210,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,CHA201805220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,CHA201805230,4,3,0,0,1,0,0,0,0,2,4,0,0,0,0,engea001
0,CHA201805240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201806010,2,1,1,0,0,0,1,0,0,0,4,0,0,0,0,engea001
0,CHA201806020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201806030,2,0,1,0,1,0,0,0,0,2,4,0,0,0,0,engea001
0,CHA201806110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,CHA201806120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201806130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201806140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201806150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201806160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201806170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201806221,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201806222,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,engea001
0,CHA201806230,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,CHA201806240,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201806260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201806280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201807140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201807150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201807270,2,1,1,0,0,1,0,0,0,2,3,0,0,0,0,engea001
0,CHA201807290,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,engea001
0,CHA201807310,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201808020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,CHA201808060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201808070,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0,engea001
0,CHA201808080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201808100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,engea001
0,CHA201808120,3,1,0,1,1,0,0,0,0,3,4,0,0,0,0,engea001
0,CHA201808170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201808180,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,engea001
0,CHA201808190,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201808210,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201808220,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,engea001
0,CHA201808300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201808310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201809010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201809020,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,engea001
0,CHA201809030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201809040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201809070,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,engea001
0,CHA201809080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201809090,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,engea001
0,CHA201809210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201809220,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201809230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHA201809250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CHA201809260,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,engea001
0,MIN201908200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,MIN201908210,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,engea001
0,MIN201909170,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,engea001
0,MIN201909180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,SEA201909130,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,engea001
0,SEA201909140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,SEA201909150,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,engea001
0,CLE201904010,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,engea001
0,CLE201904030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,CLE201909020,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,CLE201909050,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,engea001
0,TEX201806290,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,TEX201806300,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,engea001
0,TEX201807010,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,PIT201805150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,PIT201805160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201706030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,DET201706040,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,engea001
0,DET201709140,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,engea001
0,DET201709150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201709160,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,engea001
0,DET201709170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CHN201707240,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,engea001
0,CHN201707250,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,HOU201807060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,HOU201807070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,HOU201807080,1,0,1,0,0,0,1,1,0,0,3,0,0,0,0,engea001
0,HOU201709190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,HOU201709200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,HOU201709210,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,engea001
0,CLE201805280,2,1,0,1,0,0,0,0,0,1,4,0,0,0,0,engea001
0,CLE201805290,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,CLE201805300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CLE201806180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,CLE201806190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,CLE201806200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,CLE201809180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,CLE201809200,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,KCA201803290,2,1,1,0,0,2,0,0,0,0,3,0,0,0,0,engea001
0,KCA201803310,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,engea001
0,KCA201804260,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,KCA201804270,1,0,0,1,0,0,1,1,0,2,3,0,0,0,0,engea001
0,KCA201804282,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,KCA201809100,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,engea001
0,KCA201809110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,KCA201809120,2,1,0,1,0,1,0,0,0,0,4,0,0,0,0,engea001
0,OAK201707030,0,0,0,0,0,3,1,0,0,1,3,0,0,0,0,engea001
0,OAK201707040,2,2,0,0,0,0,1,1,0,0,4,0,0,0,0,engea001
0,OAK201707050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,MIN201804120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,MIN201806051,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,MIN201806052,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,engea001
0,MIN201806060,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,engea001
0,MIN201808200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,MIN201809281,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,DET201805250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201805260,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201805270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,DET201808130,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,engea001
0,DET201808140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201808150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201808230,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201808240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,DET201808250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,engea001
0,DET201808260,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,MIN201706200,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,engea001
0,MIN201706210,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,engea001
0,MIN201706220,4,3,1,0,0,0,0,0,0,2,5,0,0,0,0,engea001
0,MIN201708290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,MIN201708300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,engea001
0,MIN201708310,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,engea001
0,ANA201908150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,engea001
0,ANA201908170,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,engea001
0,TBA201907190,2,1,0,1,0,0,0,0,0,1,5,0,0,0,0,engea001
0,TBA201907200,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
0,TBA201907210,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,engea001
0,COL201707070,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,engea001
