,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201605030,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,fedet001
0,PIT201609260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,PIT201609280,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,PIT201609290,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,fedet001
0,CIN201906140,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,fedet001
0,CIN201906160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fedet001
0,ARI201404110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fedet001
0,ARI201404130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fedet001
0,SFN201605210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,OAK201907250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fedet001
0,OAK201907280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fedet001
0,CIN201809080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,fedet001
0,CIN201809120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,CIN201809300,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,fedet001
0,SFN201704110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,SFN201704130,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,fedet001
0,SFN201709030,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,fedet001
0,SFN201709120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,SFN201709170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,SFN201709300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,SLN201605240,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,fedet001
0,MIL201605180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,BOS201906100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,BOS201906110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fedet001
0,BOS201906120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,ANA201807220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fedet001
0,LAN201709230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,LAN201709240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
0,SFN201404150,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,fedet001
0,SFN201404170,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,fedet001
0,SFN201409130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fedet001
