,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201907180,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,frazt001
0,SFN201907200,2,0,0,1,1,1,0,0,0,1,4,0,0,0,0,frazt001
0,SFN201907210,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,frazt001
0,ATL201906170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,ATL201906180,1,1,0,0,0,2,0,0,0,2,3,0,0,0,0,frazt001
0,ATL201906190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,ATL201908130,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,ATL201908140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,ATL201908150,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,frazt001
0,BAL201604280,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,frazt001
0,BAL201604290,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,BAL201604300,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,frazt001
0,BAL201605010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,KCA201505190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,KCA201505200,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201604080,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201604090,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,frazt001
0,CHA201604180,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201604190,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201604200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201604210,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,frazt001
0,CHA201604220,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,frazt001
0,CHA201604230,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,frazt001
0,CHA201604240,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201605030,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201605040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201605050,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201605060,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,frazt001
0,CHA201605070,2,0,1,0,1,0,0,0,0,2,5,0,0,0,0,frazt001
0,CHA201605080,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,frazt001
0,CHA201605180,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,frazt001
0,CHA201605190,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201605200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201605210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201605220,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201605231,2,1,0,0,1,2,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201605232,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201605240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201605250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201606070,1,0,0,0,1,2,0,0,0,2,3,0,0,0,0,frazt001
0,CHA201606080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201606090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201606100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201606110,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201606120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201606130,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,frazt001
0,CHA201606150,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,frazt001
0,CHA201606240,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,frazt001
0,CHA201606250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201606260,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201606280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201606290,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,frazt001
0,CHA201606300,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,frazt001
0,CHA201607040,3,1,2,0,0,2,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201607050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201607060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201607080,1,0,0,0,1,0,0,0,1,2,4,0,0,0,0,frazt001
0,CHA201607090,2,0,1,0,1,0,0,0,0,3,4,0,0,0,0,frazt001
0,CHA201607100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201607210,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201607220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201607230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201607240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201607250,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,frazt001
0,CHA201607260,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201608050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201608060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201608070,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,frazt001
0,CHA201608190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201608200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201608210,3,2,1,0,0,0,0,0,0,2,4,0,0,0,0,frazt001
0,CHA201608230,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,frazt001
0,CHA201608240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201608250,2,2,0,0,0,0,0,0,0,3,5,0,0,0,0,frazt001
0,CHA201608260,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201608270,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201608280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201609050,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201609060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201609070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201609090,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201609100,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,frazt001
0,CHA201609110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201609120,2,1,0,0,1,0,0,0,0,2,5,0,0,0,0,frazt001
0,CHA201609130,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,frazt001
0,CHA201609140,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201609150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,CHA201609260,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201609270,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,frazt001
0,CHA201609280,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,frazt001
0,CHA201609290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201609300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201610010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,CHA201610020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,ATL201404250,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,frazt001
0,ATL201404270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,NYN201404040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,NYN201404050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,NYN201404060,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,BOS201809140,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,frazt001
0,BOS201809150,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,frazt001
0,BOS201809160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,NYN201708160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frazt001
0,NYN201708170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,NYN201904220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,NYN201904230,1,0,0,0,1,0,0,0,0,4,4,0,0,0,0,frazt001
0,NYN201904240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,NYN201904260,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,frazt001
0,NYN201904270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frazt001
0,NYN201904280,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,frazt001
0,NYN201904290,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,frazt001
0,NYN201904300,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,frazt001
0,NYN201905020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frazt001
0,NYN201905200,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,frazt001
0,NYN201905210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frazt001
0,NYN201905220,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,NYN201905230,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,frazt001
0,NYN201905240,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,frazt001
0,NYN201905250,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,frazt001
0,NYN201905260,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,frazt001
0,NYN201906040,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
0,NYN201906050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,frazt001
