,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gardb001
0,SFN201904270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gardb001
0,SFN201904280,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,gardb001
0,BAL201605030,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,gardb001
0,BAL201605040,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,gardb001
0,BAL201606030,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,gardb001
0,BAL201606040,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,gardb001
0,BAL201606050,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,BAL201609020,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,gardb001
0,BAL201609030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,BAL201609040,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,gardb001
0,KCA201505150,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,gardb001
0,KCA201505160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gardb001
0,KCA201505170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,CHA201607040,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gardb001
0,CHA201607050,4,3,1,0,0,0,0,0,0,0,6,0,0,0,0,gardb001
0,CHA201607060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,NYN201405140,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,gardb001
0,NYN201405150,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,gardb001
0,OAK201505280,3,2,1,0,0,0,0,0,0,1,5,0,0,0,0,gardb001
0,OAK201505290,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,gardb001
0,OAK201505300,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gardb001
0,OAK201505310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,BOS201804110,2,2,0,0,0,2,0,0,0,0,3,0,0,0,0,gardb001
0,BOS201804120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,BOS201808020,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,BOS201808030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gardb001
0,BOS201808040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,BOS201808050,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,gardb001
0,BOS201809290,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,gardb001
0,BOS201809300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,NYN201708160,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,gardb001
0,NYN201708170,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,gardb001
0,OAK201809030,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,gardb001
0,OAK201809040,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,gardb001
0,OAK201809050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,NYN201907020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gardb001
0,NYN201907030,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gardb001
0,TOR201404040,2,2,0,0,0,0,1,1,0,1,4,0,0,0,0,gardb001
0,TOR201404060,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,gardb001
0,TOR201406230,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,gardb001
0,TOR201406240,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,gardb001
0,TOR201406250,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,gardb001
