,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201909090,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,gonze004
0,BAL201607220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CHA201609120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,BOS201808220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,BOS201808230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CIN201903280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,CIN201903310,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,gonze004
0,WAS201904120,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,WAS201904130,1,0,1,0,0,1,1,0,0,0,3,0,0,0,0,gonze004
0,WAS201904140,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gonze004
0,CHN201904080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CHN201904100,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,CHN201904110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gonze004
0,CHN201909130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gonze004
0,CHN201909140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CHN201909150,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,BOS201707310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gonze004
0,CIN201808130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CIN201808140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,TOR201809090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,SFN201707180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,SFN201707190,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,KCA201706040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,PHI201908260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gonze004
0,PHI201908280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,ANA201804030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,ANA201804040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gonze004
0,TBA201809120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gonze004
0,CLE201705140,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CLE201705170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CLE201705280,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,gonze004
0,CLE201706010,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,CLE201706110,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,gonze004
0,CLE201706140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,CLE201706150,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,gonze004
0,CLE201706230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,CLE201707050,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,gonze004
0,CLE201707080,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,gonze004
0,CLE201707090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gonze004
0,CLE201707210,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,gonze004
0,CLE201707230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CLE201707260,2,2,0,0,0,0,0,0,0,2,4,0,0,0,0,gonze004
0,CLE201708030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gonze004
0,CLE201708240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CLE201708270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CLE201709080,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,gonze004
0,CLE201709090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,CLE201709110,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,gonze004
0,CLE201709160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
0,NYA201805060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gonze004
