,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201704200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,greeg002
0,OAK201504290,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,greeg002
0,OAK201508310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,greeg002
0,TOR201405100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,greeg002
0,TOR201405120,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,greeg002
0,SFN201607040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,greeg002
0,SFN201607060,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,greeg002
0,SFN201607080,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,greeg002
0,SFN201607090,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,greeg002
0,SFN201607250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,SFN201607260,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,greeg002
0,SFN201607270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,greeg002
0,ARI201607010,2,2,0,0,0,0,0,0,0,2,4,0,0,0,0,greeg002
0,ARI201607020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,greeg002
0,ARI201607030,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,greeg002
0,DET201508250,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,DET201508270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,greeg002
0,SDN201607150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,SDN201607160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,SDN201607170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,OAK201405300,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,greeg002
0,OAK201405310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,greeg002
0,OAK201409240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,PHI201405130,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,greeg002
0,PHI201405140,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,greeg002
0,CHA201407012,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,greeg002
0,MIN201409070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,greeg002
0,NYA201506050,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,greeg002
0,CLE201409080,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,TEX201409110,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,greeg002
0,OAK201606300,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,greeg002
0,HOU201409020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,greeg002
0,ANA201504250,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,greeg002
0,ANA201504260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,greeg002
0,ANA201505270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,greeg002
0,ANA201505280,1,1,0,0,0,0,1,0,0,1,4,0,0,0,0,greeg002
0,ANA201505300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,greeg002
0,ANA201505310,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,greeg002
0,ANA201506020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,ANA201507201,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,ANA201508220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,greeg002
0,ANA201508230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,greeg002
0,NYA201607220,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,greeg002
0,NYA201607230,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,greeg002
0,SEA201405270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,greeg002
