,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201407180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,ATL201409030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,NYN201405090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gwynt002
0,NYN201405100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,gwynt002
0,NYN201405110,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,gwynt002
0,TOR201405070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,TOR201405080,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,gwynt002
0,ARI201404250,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,gwynt002
0,ARI201404260,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,gwynt002
0,SDN201409160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gwynt002
0,MIL201407070,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,MIL201407100,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gwynt002
0,PIT201407040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,CHN201404040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,CHN201404060,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gwynt002
0,COL201404180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,COL201404200,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,gwynt002
0,PHI201404090,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201404100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201404110,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,gwynt002
0,PHI201404120,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,gwynt002
0,PHI201404130,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,gwynt002
0,PHI201404140,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,gwynt002
0,PHI201404160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201404290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405030,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,gwynt002
0,PHI201405040,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,gwynt002
0,PHI201405050,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405170,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,gwynt002
0,PHI201405230,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,gwynt002
0,PHI201405240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405260,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405280,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,gwynt002
0,PHI201405290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201405300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gwynt002
0,PHI201405310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201406010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201406020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201406110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201406120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201406130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,gwynt002
0,PHI201406240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201406250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201406260,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,gwynt002
0,PHI201406281,2,1,0,1,0,0,0,0,0,0,3,0,0,0,0,gwynt002
0,PHI201409110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,PHI201409270,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,gwynt002
0,WAS201406050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,WAS201409070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gwynt002
0,TEX201403310,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,gwynt002
0,CIN201406080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gwynt002
0,LAN201404210,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,gwynt002
0,LAN201404220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,LAN201404240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,MIA201405200,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gwynt002
0,MIA201405210,2,2,0,0,0,1,0,0,0,1,3,0,0,0,0,gwynt002
0,MIA201405220,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,gwynt002
0,MIA201407010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gwynt002
0,MIA201407020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gwynt002
0,MIA201407030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,gwynt002
