,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201908300,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,lamed001
0,MIL201706170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,NYN201705250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,NYN201907240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,MIA201907180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamed001
0,SFN201707230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lamed001
0,PHI201908170,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,lamed001
0,SDN201907120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamed001
0,SDN201907300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201908110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201908240,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lamed001
0,SDN201909060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201909120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,lamed001
0,SDN201909250,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lamed001
0,LAN201709260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201705300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201706110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamed001
0,SDN201706240,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lamed001
0,SDN201706290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201707290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201708150,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,lamed001
0,SDN201708200,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,lamed001
0,SDN201709010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lamed001
0,SDN201709060,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,SDN201709200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,ARI201706060,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,lamed001
0,LAN201907040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,PIT201708050,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,lamed001
0,MIA201708260,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lamed001
0,CIN201708100,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,lamed001
0,MIL201909180,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
0,COL201707180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lamed001
