,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201609110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,TOR201409100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,ANA201608290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,ANA201608300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,loper002
0,BOS201709040,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,loper002
0,BOS201709050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,loper002
0,ARI201608280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,PHI201807200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,SLN201609260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,MIA201806080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,MIA201806090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,loper002
0,MIA201806100,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,loper002
0,SDN201803290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,loper002
0,SDN201805040,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,loper002
0,SDN201805050,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,loper002
0,SDN201805070,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,loper002
0,SDN201805080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,SDN201805100,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,loper002
0,SDN201805120,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,loper002
0,SDN201805130,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,loper002
0,SDN201805150,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,SDN201805290,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,loper002
0,SDN201805300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,loper002
0,SDN201806010,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,loper002
0,SDN201806030,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,loper002
0,SDN201806040,3,2,0,0,1,0,0,0,0,2,4,0,0,0,0,loper002
0,SDN201806060,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,loper002
0,SDN201806190,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,loper002
0,SDN201807120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,SDN201807150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,loper002
0,MIL201409260,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,loper002
0,PIT201409120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,CHN201409020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,CHN201409070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,CHN201409190,1,1,0,0,0,1,0,0,1,1,3,0,0,0,0,loper002
0,CHN201409210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,loper002
0,LAN201805250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,LAN201805270,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,loper002
0,PIT201805170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,loper002
0,PIT201805180,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,loper002
0,PIT201805190,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,loper002
0,CHN201708190,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,loper002
0,CHN201708200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,ATL201806150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,loper002
0,ATL201806170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,loper002
0,TOR201708090,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,loper002
0,TOR201708110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,TOR201708120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,loper002
0,TOR201708130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,loper002
0,TOR201708140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,TOR201708160,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,loper002
0,TOR201708260,2,2,0,0,0,0,0,0,0,2,4,0,0,0,0,loper002
0,TOR201708280,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,loper002
0,TOR201708300,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,loper002
0,TOR201709080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,loper002
0,TOR201709200,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,loper002
0,TOR201709210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,TOR201709230,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,loper002
0,MIN201709140,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,loper002
0,MIN201709170,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,loper002
0,SFN201805010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,SFN201806220,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,loper002
0,BAL201709010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,loper002
0,SLN201806110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,loper002
0,SLN201806130,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,loper002
0,WAS201805220,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,WAS201805230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,loper002
0,NYA201709290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,loper002
0,NYA201710010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
0,TBA201708230,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,loper002
0,CIN201609040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,loper002
