,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201904290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201903310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201904090,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201904140,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,lorem002
0,CIN201908160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201908170,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,lorem002
0,CIN201909020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201909040,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,lorem002
0,CIN201909050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lorem002
0,CIN201909080,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,lorem002
0,CIN201909250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lorem002
0,CHN201907150,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,lorem002
0,CHN201909160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lorem002
0,CHN201909170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CHN201909180,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,lorem002
0,WAS201606300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,MIA201908270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,MIA201908290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,lorem002
0,NYN201808060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,NYN201808080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201806070,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201806240,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,lorem002
0,CIN201806290,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,lorem002
0,CIN201806300,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,lorem002
0,CIN201807040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201807210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201807220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201807260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lorem002
0,CIN201808130,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
0,CIN201808140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lorem002
0,CIN201808180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lorem002
