,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201608020,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,lucrj001
0,BAL201608030,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,lucrj001
0,BAL201608040,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,lucrj001
0,KCA201506170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,KCA201506180,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,lucrj001
0,ATL201405190,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,ATL201405200,2,0,2,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,ATL201405210,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,lucrj001
0,ATL201405220,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,lucrj001
0,ATL201708250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,ATL201708260,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,lucrj001
0,NYN201406100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,NYN201406110,3,1,2,0,0,0,0,0,0,1,5,0,0,0,0,lucrj001
0,NYN201406120,1,0,0,0,1,0,0,0,0,2,6,0,0,0,0,lucrj001
0,PIT201604150,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,lucrj001
0,PIT201604160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,PIT201604170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,PIT201607190,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,PIT201607200,1,1,0,0,0,1,0,0,1,3,3,0,0,0,0,lucrj001
0,PIT201607210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lucrj001
0,BOS201805140,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,lucrj001
0,BOS201805150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,BOS201805160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201803290,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,lucrj001
0,OAK201803300,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,lucrj001
0,OAK201804010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201804020,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201804030,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201804050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201804160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201804170,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,lucrj001
0,OAK201804180,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,lucrj001
0,OAK201804200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201804210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201805040,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201805060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201805070,2,1,1,0,0,1,0,0,0,1,3,0,0,0,0,lucrj001
0,OAK201805090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201805220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201805230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201805250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201805270,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,lucrj001
0,OAK201805280,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,lucrj001
0,OAK201805300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201806070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201806080,2,1,1,0,0,0,0,0,0,3,4,0,0,0,0,lucrj001
0,OAK201806100,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,lucrj001
0,OAK201806120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201806130,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,lucrj001
0,OAK201806140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201806160,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,lucrj001
0,OAK201806170,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,lucrj001
0,OAK201806290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201807010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,lucrj001
0,OAK201807030,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201807200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201807210,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,lucrj001
0,OAK201807220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201807300,1,0,1,0,0,1,0,0,1,3,2,0,0,0,0,lucrj001
0,OAK201807310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808010,3,2,1,0,0,0,0,0,0,4,4,0,0,0,0,lucrj001
0,OAK201808030,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,lucrj001
0,OAK201808040,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808130,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,lucrj001
0,OAK201808140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201808170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808190,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808200,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201808220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lucrj001
0,OAK201808300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201808310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201809010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lucrj001
0,OAK201809020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lucrj001
0,OAK201809030,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201809040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201809070,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201809080,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,OAK201809090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,lucrj001
0,OAK201809180,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,lucrj001
0,OAK201809190,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,lucrj001
0,OAK201809210,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,lucrj001
0,OAK201809220,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,OAK201809230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,NYN201908290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,lucrj001
0,CIN201908080,3,2,1,0,0,0,0,0,0,2,5,0,0,0,0,lucrj001
0,CIN201908090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lucrj001
0,CIN201908100,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,lucrj001
0,CHN201904120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,lucrj001
0,CHN201904130,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,lucrj001
