,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,COL201804060,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,mccab001
0,ARI201403310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mccab001
0,ARI201404110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,ARI201404160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,ARI201404270,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,mccab001
0,ARI201405140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,ARI201405260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,ARI201405310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,ARI201406060,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,mccab001
0,ARI201406160,1,1,0,0,0,0,1,1,0,2,2,0,0,0,0,mccab001
0,ARI201406210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,CIN201804240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,ARI201607160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mccab001
0,PHI201804290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mccab001
0,PHI201805220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mccab001
0,SFN201705150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,SLN201607220,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,mccab001
0,SLN201405210,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,mccab001
0,LAN201704060,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,LAN201704170,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,mccab001
0,LAN201704290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,LAN201705210,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,mccab001
0,LAN201705270,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,mccab001
0,LAN201706060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,LAN201706200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mccab001
0,LAN201706250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,LAN201707080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,LAN201707200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,MIA201805110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,SDN201405030,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,mccab001
0,SDN201406270,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,mccab001
0,PIT201407030,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,mccab001
0,CHN201404220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,ARI201704230,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,mccab001
0,LAN201504080,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,mccab001
0,LAN201504130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,LAN201504190,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,mccab001
0,COL201404050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mccab001
0,LAN201806080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,SDN201504250,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,mccab001
0,CHN201704120,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,mccab001
0,COL201608020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,MIA201707140,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,mccab001
0,ATL201803310,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,mccab001
0,ATL201804180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,ATL201805050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,ATL201805160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,ATL201805282,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,ATL201806020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,ATL201806150,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,mccab001
0,ATL201806240,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,mccab001
0,SLN201706010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,LAN201607030,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,mccab001
0,LAN201607090,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,mccab001
0,LAN201607270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,LAN201608070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mccab001
0,LAN201609250,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,mccab001
0,WAS201804110,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,mccab001
