,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201409080,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,mckem001
0,NYN201409100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mckem001
0,OAK201506300,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,mckem001
0,OAK201507010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mckem001
0,DET201408020,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,mckem001
0,ARI201408080,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,mckem001
0,ARI201408090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mckem001
0,ARI201408290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mckem001
0,ARI201408300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mckem001
0,ARI201504270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mckem001
0,ARI201507030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mckem001
0,ARI201507050,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,mckem001
0,SLN201607070,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,mckem001
0,SLN201607170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mckem001
0,CIN201505270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mckem001
0,SLN201409130,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,mckem001
0,SLN201409140,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,mckem001
0,COL201504120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,mckem001
0,COL201504200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mckem001
0,COL201504220,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,mckem001
