,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201906240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,SFN201906250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,SFN201906260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,SFN201909240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mcmar001
0,SFN201909250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,SFN201909260,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,mcmar001
0,ATL201904260,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,mcmar001
0,ATL201904270,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,mcmar001
0,NYN201906070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,NYN201906090,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,mcmar001
0,CIN201907260,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,mcmar001
0,CIN201907270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,mcmar001
0,CIN201907280,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,mcmar001
0,WAS201907230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,mcmar001
0,WAS201907241,2,2,0,0,0,0,0,0,1,2,3,0,0,0,0,mcmar001
0,WAS201907250,2,1,0,0,1,1,0,0,0,3,3,0,0,0,0,mcmar001
0,CHN201906040,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,CHN201906050,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,mcmar001
0,COL201804060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201804080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201804090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201804100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201804110,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,mcmar001
0,COL201804200,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,COL201804210,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,mcmar001
0,COL201804220,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,mcmar001
0,COL201804230,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,mcmar001
0,COL201804240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mcmar001
0,COL201804250,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,mcmar001
0,COL201805260,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,COL201805270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,COL201805280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,COL201805290,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,mcmar001
0,COL201805300,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201806010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201806020,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201806030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,COL201806080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201806090,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,mcmar001
0,COL201806100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mcmar001
0,COL201806190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201806200,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,mcmar001
0,COL201807290,2,0,2,0,0,0,0,0,0,1,4,0,0,0,0,mcmar001
0,COL201808060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201808070,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,mcmar001
0,COL201808080,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,mcmar001
0,COL201808090,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mcmar001
0,COL201808100,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,mcmar001
0,COL201808110,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,mcmar001
0,COL201808120,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,mcmar001
0,COL201808220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mcmar001
0,COL201808230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201808240,3,2,1,0,0,0,0,0,0,1,5,0,0,0,0,mcmar001
0,COL201808250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,COL201808260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201809040,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,mcmar001
0,COL201809050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201809080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mcmar001
0,COL201809100,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201809110,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,mcmar001
0,COL201809240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201809250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201809260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,COL201809290,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,mcmar001
0,MIA201903280,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,mcmar001
0,MIA201903290,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,mcmar001
0,MIA201903300,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,MIA201903310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,CIN201806060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,CIN201806070,1,0,0,1,0,0,0,0,0,1,6,0,0,0,0,mcmar001
0,NYA201907190,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,mcmar001
0,NYA201907200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mcmar001
0,NYA201907210,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,mcmar001
0,PHI201806120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,PHI201806130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mcmar001
0,PHI201806140,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,mcmar001
0,PHI201905180,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,mcmar001
0,PHI201905190,2,0,0,0,2,0,0,0,0,2,4,0,0,0,0,mcmar001
