,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201904060,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,pillk001
0,SFN201904070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201904080,1,0,0,0,1,0,0,0,0,4,4,0,0,0,0,pillk001
0,SFN201904090,1,0,1,0,0,0,0,0,1,4,3,0,0,0,0,pillk001
0,SFN201904100,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201904110,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,pillk001
0,SFN201904120,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,pillk001
0,SFN201904130,1,0,0,0,1,0,0,0,1,2,3,0,0,0,0,pillk001
0,SFN201904140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,pillk001
0,SFN201904260,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201904270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201904280,2,1,0,0,1,0,0,0,0,3,4,0,0,0,0,pillk001
0,SFN201904290,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201904300,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,pillk001
0,SFN201905010,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,pillk001
0,SFN201905100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,pillk001
0,SFN201905110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201905120,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201905140,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201905150,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201905200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201905210,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201905220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201905230,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,pillk001
0,SFN201905240,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201905250,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201905260,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201906070,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201906080,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201906090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201906110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,pillk001
0,SFN201906120,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201906140,3,2,0,0,1,0,0,0,0,1,3,0,0,0,0,pillk001
0,SFN201906150,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,pillk001
0,SFN201906160,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201906240,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201906250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201906260,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,pillk001
0,SFN201906270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201906280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201906290,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201906300,4,2,1,0,1,0,0,0,0,5,5,0,0,0,0,pillk001
0,SFN201907050,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201907060,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201907070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201907180,2,2,0,0,0,0,0,0,1,1,6,0,0,0,0,pillk001
0,SFN201907190,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201907200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201907210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201907220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201907230,2,0,2,0,0,0,0,0,0,2,5,0,0,0,0,pillk001
0,SFN201907240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201908050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201908060,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201908070,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,pillk001
0,SFN201908080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
0,SFN201908090,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,pillk001
0,SFN201908100,2,0,1,0,1,0,0,0,0,1,3,0,0,0,0,pillk001
0,SFN201908110,2,1,0,1,0,0,0,0,0,2,4,0,0,0,0,pillk001
0,SFN201908130,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,pillk001
0,SFN201908140,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,pillk001
