,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201909130,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,ramih004
0,SFN201909140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,SFN201909150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,ATL201907050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,ATL201907060,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,ramih004
0,ATL201907070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,ATL201908200,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,ramih004
0,ATL201908210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,ATL201908220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,NYN201905110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,NYN201908051,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,NYN201908052,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,ramih004
0,NYN201908060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,NYN201908070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,NYN201909230,2,2,0,0,0,0,0,0,0,2,4,0,0,0,0,ramih004
0,NYN201909240,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,NYN201909250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ramih004
0,NYN201909260,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,WAS201905240,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,WAS201905250,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,WAS201905260,3,2,1,0,0,1,0,0,0,0,4,0,0,0,0,ramih004
0,WAS201905270,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,ramih004
0,WAS201907020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,WAS201907030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,WAS201907040,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,WAS201908300,3,2,0,0,1,0,0,0,0,1,5,0,0,0,0,ramih004
0,WAS201908310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,WAS201909010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201905140,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,MIA201905150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ramih004
0,MIA201905170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201905180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,MIA201905280,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,MIA201905290,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,MIA201905300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201906070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201906080,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,MIA201906090,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,ramih004
0,MIA201906100,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201906110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201906120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201906140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201906150,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,MIA201906160,2,0,1,0,1,0,0,0,0,3,4,0,0,0,0,ramih004
0,MIA201906250,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,MIA201906260,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,ramih004
0,MIA201906270,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,MIA201906280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,ramih004
0,MIA201906290,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,MIA201906300,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,ramih004
0,MIA201907120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ramih004
0,MIA201907130,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,MIA201907140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ramih004
0,MIA201907160,2,0,2,0,0,0,0,0,0,2,5,0,0,0,0,ramih004
0,MIA201907180,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,ramih004
0,MIA201907260,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,ramih004
0,MIA201907270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201907280,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,ramih004
0,MIA201907290,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,ramih004
0,MIA201907300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,MIA201907310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ramih004
0,MIA201908010,2,0,0,1,1,1,0,0,0,2,5,0,0,0,0,ramih004
0,MIA201908080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201908100,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,MIA201908110,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,ramih004
0,MIA201908130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201908140,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,MIA201908150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,MIA201908230,3,2,1,0,0,0,0,0,0,2,5,0,0,0,0,ramih004
0,MIA201908240,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201908250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,MIA201908260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201908270,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,MIA201908290,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,ramih004
0,MIA201909060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,MIA201909070,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,MIA201909080,2,2,0,0,0,0,0,0,0,2,4,0,0,0,0,ramih004
0,MIA201909090,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,MIA201909100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ramih004
0,MIA201909110,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201909120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,MIA201909200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,MIA201909210,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,ramih004
0,MIA201909220,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,PHI201906210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,PHI201906220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,PHI201906230,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,ramih004
0,PHI201909270,3,2,0,0,1,0,0,0,0,1,7,0,0,0,0,ramih004
0,PHI201909280,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,PHI201909290,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,SDN201905310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,ramih004
0,SDN201906010,1,0,1,0,0,0,0,0,0,3,5,0,0,0,0,ramih004
0,SDN201906020,3,3,0,0,0,0,0,0,0,2,5,0,0,0,0,ramih004
0,LAN201907190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,ramih004
0,LAN201907200,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,ramih004
0,LAN201907210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ramih004
0,PIT201909030,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,ramih004
0,PIT201909050,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,ramih004
0,COL201908160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,COL201908180,3,2,1,0,0,1,0,0,0,2,4,0,0,0,0,ramih004
0,SLN201906170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,SLN201906180,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,ramih004
0,SLN201906190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,SLN201906200,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,MIL201906040,2,1,1,0,0,0,0,0,0,2,6,0,0,0,0,ramih004
0,MIL201906050,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,ramih004
0,MIL201906060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,TBA201908030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,TBA201908040,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,ARI201909160,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,ramih004
0,ARI201909170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ramih004
0,ARI201909180,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,ramih004
0,DET201905210,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,ramih004
0,DET201905220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,DET201905230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ramih004
0,CHA201907220,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ramih004
0,CHA201907230,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,ramih004
0,CHA201907240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ramih004
