,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201505030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,KCA201508100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,KCA201508110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,KCA201509020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,KCA201509030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,CHA201606140,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,romia001
0,CHA201607240,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,romia001
0,CHA201609050,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,romia001
0,CHA201609060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,PIT201604130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,PIT201604140,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,OAK201505260,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,BOS201806220,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,BOS201806230,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,romia001
0,BOS201806240,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,romia001
0,OAK201805220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,OAK201805240,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,romia001
0,OAK201808130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,OAK201808150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,TOR201408100,2,1,1,0,0,0,0,0,0,0,9,0,0,0,0,romia001
0,DET201404040,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,romia001
0,DET201404060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201404180,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,romia001
0,DET201404190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,romia001
0,DET201404200,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,romia001
0,DET201404210,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201404220,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,romia001
0,DET201404230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201405050,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,romia001
0,DET201405070,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,romia001
0,DET201405090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201405100,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,romia001
0,DET201405110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201405220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201405230,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,romia001
0,DET201405240,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,DET201405250,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,romia001
0,DET201406030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201406040,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,romia001
0,DET201406050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201406060,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,romia001
0,DET201406130,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,romia001
0,DET201406160,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,DET201407020,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,romia001
0,DET201407050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,romia001
0,DET201407200,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201407290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201407300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,DET201408020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,DET201408170,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,romia001
0,DET201408280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,DET201409070,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,DET201409080,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,DET201409090,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,romia001
0,DET201409100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,DET201409130,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,romia001
0,DET201409140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,DET201409220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201409230,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,romia001
0,DET201409240,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,romia001
0,DET201409260,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,DET201409270,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201409280,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,romia001
0,WAS201605100,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,romia001
0,COL201807130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,ARI201407230,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,romia001
0,BOS201507260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,TBA201408190,2,2,0,0,0,1,0,0,0,0,5,0,0,0,0,romia001
0,TBA201408200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,ANA201605300,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,ANA201605310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,SEA201804130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,SEA201804190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,SEA201805050,1,0,1,0,0,0,1,1,0,0,4,0,0,0,0,romia001
0,SEA201805160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,SEA201805200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,SEA201805260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,SEA201805270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,SEA201805280,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,romia001
0,SEA201806130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,SEA201806170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,SEA201807060,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,SEA201807070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,SEA201807300,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,romia001
0,SEA201807310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,SEA201808010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,romia001
0,SEA201808020,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,SEA201808040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,SEA201808050,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,romia001
0,SEA201808220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,SEA201809260,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,romia001
0,SEA201809300,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,romia001
0,TOR201805100,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,romia001
0,BOS201405170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,BOS201405180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,BAL201507300,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,romia001
0,KCA201705290,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,romia001
0,KCA201705310,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,romia001
0,KCA201707200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,KCA201709270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,KCA201709280,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,romia001
0,SEA201608090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,CIN201506170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,romia001
0,CIN201508240,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,DET201504180,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,DET201504220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,DET201504240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
0,DET201505080,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,romia001
0,DET201505090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201505100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,romia001
0,DET201505210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,romia001
0,DET201505240,2,2,0,0,0,0,1,0,0,0,4,0,0,0,0,romia001
0,DET201506100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,romia001
