,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201909080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,ATL201704180,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,ATL201705200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,ATL201709190,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,MIL201709020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,NYN201704230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,NYN201706160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,NYN201709240,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,schem001
0,NYN201904070,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,schem001
0,NYN201905220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,CIN201906020,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,schem001
0,WAS201903280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,WAS201904020,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,schem001
0,WAS201904140,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,schem001
0,WAS201904260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201905010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201905170,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201905270,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,schem001
0,WAS201906140,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,schem001
0,WAS201906192,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201907060,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201907250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,schem001
0,WAS201908280,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,schem001
0,WAS201909030,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,schem001
0,WAS201909130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,schem001
0,WAS201909242,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,schem001
0,WAS201604110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201604260,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201605110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,WAS201605270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201606130,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,WAS201606290,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,WAS201607040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,schem001
0,WAS201607170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201607230,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,schem001
0,WAS201608090,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201608250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,WAS201609050,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,schem001
0,WAS201609100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,WAS201609270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,schem001
0,WAS201610020,2,2,0,0,0,0,0,0,0,4,2,0,0,0,0,schem001
0,MIA201904200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,MIA201906250,2,2,0,0,0,0,1,0,0,0,3,0,0,0,0,schem001
0,NYN201807120,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,SFN201607290,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,CIN201803300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,ARI201608030,1,1,0,0,0,0,1,1,0,2,3,0,0,0,0,schem001
0,PHI201808280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,schem001
0,SFN201705310,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,schem001
0,ARI201505110,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,schem001
0,SLN201605010,2,2,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,PHI201905040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,schem001
0,MIL201606240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,SDN201906080,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,LAN201706060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,COL201508200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,SDN201606180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,MIA201805250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,MIA201807270,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,schem001
0,SDN201404130,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,schem001
0,NYN201605170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,NYN201607090,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,schem001
0,ARI201707210,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,schem001
0,CHN201505270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,schem001
0,LAN201905110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,schem001
0,PIT201908220,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,schem001
