,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201609110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,BOS201704160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,SLN201609260,5,4,0,0,1,0,0,0,0,4,5,0,0,0,0,selss001
0,SLN201609270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,selss001
0,SLN201609280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,selss001
0,SLN201609290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,MIL201609230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,selss001
0,MIL201609250,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,selss001
0,DET201704070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,selss001
0,DET201704080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,DET201704090,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,selss001
0,CHN201609200,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,CHN201609210,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,selss001
0,ATL201606130,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,ATL201606140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,ATL201606160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,selss001
0,BAL201704220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,BAL201704230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,CIN201605200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,CIN201606080,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,CIN201606100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,CIN201606120,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,selss001
0,CIN201609120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,selss001
0,CIN201609140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,CIN201609160,1,0,0,0,1,0,1,1,0,1,4,0,0,0,0,selss001
0,CIN201609171,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,selss001
0,CIN201609172,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,selss001
0,CIN201609300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,selss001
0,CIN201610010,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,selss001
