,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201507240,3,1,1,0,1,0,0,0,0,1,5,0,0,0,0,tuckp001
0,KCA201507250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,KCA201507260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,OAK201508060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,OAK201508070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,OAK201508080,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,tuckp001
0,OAK201508090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,OAK201509080,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,BOS201805270,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,COL201804060,1,1,0,0,0,1,0,0,1,1,2,0,0,0,0,tuckp001
0,COL201804070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,COL201804080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,BOS201507030,2,1,1,0,0,1,0,0,0,2,5,0,0,0,0,tuckp001
0,BOS201507040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,BOS201507050,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,tuckp001
0,NYN201805010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,NYN201805020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,NYN201805030,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,NYN201808060,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tuckp001
0,NYN201809250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,NYN201809260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,HOU201604110,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,tuckp001
0,HOU201604120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,HOU201604130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,HOU201604140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tuckp001
0,HOU201604160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,HOU201604230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,HOU201604240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,HOU201605020,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,tuckp001
0,HOU201605030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,HOU201605040,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tuckp001
0,HOU201605050,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,tuckp001
0,HOU201605060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,HOU201605070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,HOU201605090,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,HOU201605100,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,tuckp001
0,HOU201605110,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,tuckp001
0,HOU201607220,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,HOU201607230,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,tuckp001
0,HOU201607240,2,0,1,0,1,0,0,0,0,1,3,0,0,0,0,tuckp001
0,HOU201607250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,HOU201607260,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,tuckp001
0,HOU201607270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,tuckp001
0,HOU201608010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tuckp001
0,HOU201608030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,HOU201608060,2,2,0,0,0,1,0,0,0,1,3,0,0,0,0,tuckp001
0,HOU201608070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,CIN201804230,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,CIN201804240,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,tuckp001
0,CIN201804250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,CIN201804260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,CIN201808120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,CIN201808130,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,tuckp001
0,CIN201808140,2,2,0,0,0,1,0,0,0,1,2,0,0,0,0,tuckp001
0,CIN201808150,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,tuckp001
0,CIN201808170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,CIN201808190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,CIN201808290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tuckp001
0,PHI201804270,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,PHI201804280,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,tuckp001
0,PHI201805210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,PHI201805230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,PHI201809280,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,PHI201809300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tuckp001
0,BAL201505250,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,tuckp001
0,BAL201505260,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,tuckp001
0,BAL201505270,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,tuckp001
