,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201904070,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,wallc001
0,NYN201905100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,CIN201904110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,CHN201905090,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201903300,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201904020,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,MIA201904030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201904130,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,wallc001
0,MIA201904140,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201904150,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,wallc001
0,MIA201904210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201904300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,MIA201905040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,MIA201905050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,wallc001
0,MIA201905180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,wallc001
0,MIA201905190,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,NYN201809132,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,wallc001
0,NYN201809300,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,PHI201804070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,wallc001
0,PHI201809140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,PHI201904270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,PHI201904280,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201803290,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201803300,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,wallc001
0,MIA201804010,2,1,1,0,0,1,0,0,0,1,3,0,0,0,0,wallc001
0,MIA201804020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,MIA201804030,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,wallc001
0,MIA201804110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201804130,1,1,0,0,0,0,1,1,0,1,3,0,0,0,0,wallc001
0,MIA201804150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,wallc001
0,MIA201809020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,MIA201809230,3,2,0,0,1,0,0,0,0,3,4,0,0,0,0,wallc001
0,PIT201709030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,wallc001
0,CHN201709300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,CHN201710010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,wallc001
0,CIN201708270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,wallc001
0,CIN201709200,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,wallc001
0,WAS201809260,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,wallc001
0,DET201905210,2,0,2,0,0,0,0,0,0,2,5,0,0,0,0,wallc001
