,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,WAS201609050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,weber001
0,MIA201807040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,weber001
0,NYN201609210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,weber001
0,MIA201509250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,weber001
0,ATL201604190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,weber001
0,ATL201608200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,weber001
0,ATL201609160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,weber001
0,PHI201509080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,weber001
0,ATL201509130,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,weber001
0,ATL201509190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,weber001
0,ATL201510010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,weber001
