,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,WAS201909270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,zimmb001
0,WAS201909280,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,zimmb001
0,WAS201909290,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,zimmb001
0,SEA201803290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,zimmb001
0,SEA201803310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,zimmb001
0,SEA201804010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,zimmb001
0,BOS201707310,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,zimmb001
0,BOS201708010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,zimmb001
0,BOS201708140,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,zimmb001
0,SFN201707170,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,zimmb001
0,SFN201707180,2,2,0,0,0,0,1,0,0,0,4,0,0,0,0,zimmb001
0,SFN201707190,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,zimmb001
0,KCA201706030,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,zimmb001
0,KCA201706040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,zimmb001
0,KCA201708180,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,zimmb001
0,KCA201708200,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,zimmb001
0,ANA201804020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,zimmb001
0,ANA201804030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,zimmb001
0,ANA201804040,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,zimmb001
0,CLE201705160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,zimmb001
0,CLE201705170,2,0,1,0,1,0,0,0,0,2,4,0,0,0,0,zimmb001
0,CLE201705240,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,zimmb001
0,CLE201705260,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,zimmb001
0,CLE201705270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,zimmb001
0,CLE201705280,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,zimmb001
0,CLE201705290,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,zimmb001
0,CLE201705300,2,0,1,0,1,0,0,0,0,4,4,0,0,0,0,zimmb001
0,CLE201705310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,zimmb001
0,CLE201706010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,zimmb001
0,CLE201706090,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,zimmb001
